annotation_id,event,tweet_id,tweet_text,original_human_label,gpt4o_label,gpt4o_confidence,sampling_group,confidence_band
AUDIT0060,kerala_floods_2018,1036536476346081280,"My classmates are doing #actual policy work. They do a legal and policy critique of the the aftermath of the #KeralaFloods. As they observe, the floods have exposed cracks not just in dams. Take a look here. Neenu, @noelbenno, Srilakshmi, Nissy, Linitha",other_relevant_information,other_relevant_information,0.8,agree,medium
AUDIT0061,kerala_floods_2018,1033975292581298176,"Following floods, 20 Kerala families forced to live in a cemetery  #keralafloods",displaced_people_and_evacuations,displaced_people_and_evacuations,0.95,agree,high
AUDIT0062,cyclone_idai_2019,1107860605476765696,MDC leader Nelson Chamisa at Birchnough bridge today en-route to assess Cyclone Idai damage in the Manicaland province of Zimbabwe #CycloneIdai #Zimbabwe,infrastructure_and_utility_damage,infrastructure_and_utility_damage,0.9,agree,high
AUDIT0063,hurricane_maria_2017,910636950528204800,"The island is destroyed. Our fellow Americans, people. This is an American tragedy.",infrastructure_and_utility_damage,sympathy_and_support,0.85,disagree,medium
AUDIT0064,hurricane_harvey_2017,903643239932076036,You are honest! POTUS DID NOT see or witness #Harvey damage first hand! Another lie!! @realDonaldTrump is a habitual lier! #POTUSLiesAgain,not_humanitarian,not_humanitarian,0.95,agree,high
AUDIT0065,cyclone_idai_2019,1110495353579675650,So which aid is alleged to have been stolen by Zanu PF? @NewsDayZimbabwe stop it !,not_humanitarian,not_humanitarian,0.95,agree,high
AUDIT0066,hurricane_florence_2018,1041282537635700736,"Another year, another state tropical cyclone rainfall record. Multi-billion dollar tropical related flooding in Louisiana in 2016, South Carolina in 2015, and Hurricane Matthew 2 years ago in the same state as #Florence. Water related disasters are far too common.",other_relevant_information,other_relevant_information,0.85,agree,medium
AUDIT0067,hurricane_maria_2017,913807868087767042,"Puerto Rico, Post-Hurricane Maria, Manufactured Homes and Factory-Built Housing",other_relevant_information,other_relevant_information,0.85,agree,medium
AUDIT0068,hurricane_maria_2017,912323209277722629,Still lingering issues with river flooding and stressed dams.,other_relevant_information,infrastructure_and_utility_damage,0.85,disagree,medium
AUDIT0069,hurricane_maria_2017,913901881436422145,The reality of internally-displaced American climate refugees starts now. #globalwarming,displaced_people_and_evacuations,displaced_people_and_evacuations,0.85,agree,medium
AUDIT0070,california_wildfires_2018,1062856211794718721,"California fires, a WARNING. This video is EIGHT MONTHS OLD!",caution_and_advice,caution_and_advice,0.9,agree,high
AUDIT0071,cyclone_idai_2019,1110392657782685696,Thank you #SouthAfrica #BafanaBafana and #ZimbabweWarriors for qualifying for the #AFCON2019.It bring hope and happy moments to Southern Africa that is mourning the victims of #CycloneIdai. I have played my party through the #HomelessAfricansTrust.Thank you CapeTown.,rescue_volunteering_or_donation_effort,sympathy_and_support,0.85,disagree,medium
AUDIT0072,canada_wildfires_2016,730052359049580544,I need Head Shaker emoticon again as we turn down international aircraft help for fires:  #notpolitics #lotsoffires,requests_or_urgent_needs,not_humanitarian,0.95,disagree,high
AUDIT0073,california_wildfires_2018,1064294160952451073,RT @Cordicon: Ὂ5New VideoὊ5 The Story Inside The Fires Of California : HOPE #CaliforniaWildFires,other_relevant_information,not_humanitarian,0.85,disagree,medium
AUDIT0074,cyclone_idai_2019,1111527195829260288,RT @PlanGlobal: Were already seeing a spike in malaria cases following #CycloneIdai. Mosquito nets save lives.,other_relevant_information,other_relevant_information,0.85,agree,medium
AUDIT0075,hurricane_maria_2017,912218577532370944,#HurricaneMaria is still churning towards the East Coast #weather,caution_and_advice,not_humanitarian,0.95,disagree,high
AUDIT0076,kaikoura_earthquake_2016,797798652357939201,The following maps show the tsunami evacuation zones for coastal areas of the Wellington region.  #eqnz,displaced_people_and_evacuations,caution_and_advice,0.95,disagree,high
AUDIT0077,cyclone_idai_2019,1112045096365670400,RT @tawandacchi: @Wamagaisa @EdmundKudzayi What if somebody donate it towards cycloneidai,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.85,agree,medium
AUDIT0078,hurricane_irma_2017,908755533527629824,The only reason Ted Cruz is asking for flood relief funding is b/c he lives in Houston.,not_humanitarian,not_humanitarian,0.95,agree,high
AUDIT0079,cyclone_idai_2019,1107385266984140800,"OH GOD HELP YOUR CHILDREN. ZIMBABWE ἟F἟C,MALAWI ἟2἟CAND MOZAMBIQUE ἟2἟F. #CYCLONEIDAI HAVE DISTROYED. WE NEED YOU NOW PEOPLE ARE DYING SAVE US NOW. WHY WHY WHY.",sympathy_and_support,requests_or_urgent_needs,0.95,disagree,high
AUDIT0080,hurricane_irma_2017,906402230902734848,#HandnHand Hurricane Benefit Expands to Include #Irma Relief,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.85,agree,medium
AUDIT0081,hurricane_harvey_2017,903583263784144896,Read this thread and stop sending your money to the Red Cross.,not_humanitarian,not_humanitarian,0.85,agree,medium
AUDIT0082,hurricane_irma_2017,906191991385534464,Rick Scott: Do not ignore evacuation orders Floridians:,displaced_people_and_evacuations,caution_and_advice,0.95,disagree,high
AUDIT0083,kerala_floods_2018,1030891129107931136,Prayers and thoughts with all the people of #Kerala. May all the help reach all crucial areas on time. Please donate generously towards the relief fund and let’s extend our support,sympathy_and_support,sympathy_and_support,0.8,agree,medium
AUDIT0084,canada_wildfires_2016,730527188370395137,Air Canada Blames Computer System For Exorbitant Fees During Wildfire Evacuation - Travel+Leisure,displaced_people_and_evacuations,not_humanitarian,0.9,disagree,high
AUDIT0085,hurricane_irma_2017,909178239423303680,#Prochoice activists work to increase the death toll of #Harvey through abortions &amp; prepare their response to #Irma:,injured_or_dead_people,not_humanitarian,0.95,disagree,high
AUDIT0086,kaikoura_earthquake_2016,798054634405277696,Please someone help #moo #eqnz,requests_or_urgent_needs,requests_or_urgent_needs,0.85,agree,medium
AUDIT0087,canada_wildfires_2016,732992163550797825,Strong roots never break. Great read! @ScottieUpshall reflects on the damage to his hometown.,infrastructure_and_utility_damage,not_humanitarian,0.95,disagree,high
AUDIT0088,kerala_floods_2018,1030954117865209856,IDAMALAYAR DAM -19-08-2018 Reporting time - 4.00 am Reservoir water level. -168.41m Full reservoir level (FRL) -169.00m Dam spill- 400cumecs #KeralaFloods,caution_and_advice,other_relevant_information,0.85,disagree,medium
AUDIT0089,kaikoura_earthquake_2016,800905394583322625,First an earthquake in Japan and now another in New Zealand!!! Hope everyone is ok!,sympathy_and_support,sympathy_and_support,0.9,agree,high
AUDIT0090,kerala_floods_2018,1031547737853095937,"These sanghi haters are worse than the vultures, Kerala Announced Rs 2cr during Uttarakhand floods in 2013, Telangana was formed in 2014. Links bellow :-",infrastructure_and_utility_damage,not_humanitarian,0.95,disagree,high
AUDIT0091,kaikoura_earthquake_2016,797919902568837121,"RT @NZStuff: Deaths, major damage after severe 7.5 quake hits Hanmer Springs #eqnz",injured_or_dead_people,infrastructure_and_utility_damage,0.9,disagree,high
AUDIT0092,kerala_floods_2018,1031117470323507200,"Hi @aliciakeys, KERALA needs all the support! Lets come together and help #KeralaNeedsHelp #KeralaFloods #KeralaSOS Donate here-",sympathy_and_support,rescue_volunteering_or_donation_effort,0.95,disagree,high
AUDIT0093,hurricane_harvey_2017,902915695649927168,We are extremely thankful for the staff from @SanAntonioVAMC headed to Houston to help us care for Veterans! #TexasStrong,sympathy_and_support,rescue_volunteering_or_donation_effort,0.9,disagree,high
AUDIT0094,canada_wildfires_2016,735891446960623616,"RT @DonBradshawNTV: How @MarshallAmpsUK came to the assistance of Fort McMurray wildfire victim, tonite on @NTVNewsNL at 6 pm.",other_relevant_information,rescue_volunteering_or_donation_effort,0.85,disagree,medium
AUDIT0095,hurricane_maria_2017,912313628212129798,RT @MaryH319: @realDonaldTrump Quit your bitchy whining and do your job. Millions of US CITIZENS in Puerto Rico need aid NOW!!! #Hurrican,requests_or_urgent_needs,requests_or_urgent_needs,0.85,agree,medium
AUDIT0096,california_wildfires_2018,1061256727046377474,"Visited Malibu for the first time in May and completely fell in love with it! It breaks my heart to see such a beautiful place destroyed by these fires. I pray for everyone who lost their homes, the ones that had to evacuate, the animals &amp; those fighting this fire. ὤFἿD #Malibu",sympathy_and_support,sympathy_and_support,0.9,agree,high
AUDIT0097,hurricane_harvey_2017,902653238893273088,Our hearts and paws go out to all of the victims who have been effected by Hurricane Harvey. The following Texas,sympathy_and_support,sympathy_and_support,0.95,agree,high
AUDIT0098,hurricane_harvey_2017,902275814233956353,Six members of the same family are believed to be dead after their van was swept away in floodwaters caused by Tropical Storm Harvey. #News,injured_or_dead_people,injured_or_dead_people,0.95,agree,high
AUDIT0099,hurricane_irma_2017,908332594844106752,Parents: keep children out of impacted areas &amp; away from #flood waters. Learn steps to take after a flood:,caution_and_advice,caution_and_advice,0.95,agree,high
AUDIT0100,cyclone_idai_2019,1108351596856070144,RT @washingtonpost: Mozambique mourns cyclone deaths as rescuers struggle to reach those affected,injured_or_dead_people,injured_or_dead_people,0.85,agree,medium
AUDIT0101,hurricane_florence_2018,1040555123204861953,@RepMarkWalker I’m sure you’re sitting in your cozy DC townhouse sending thoughts and prayers back home ὤ4 are you planning on denying any deaths caused by #Florence like your supreme leader did in PR? #VoteHimOut,not_humanitarian,sympathy_and_support,0.8,disagree,medium
AUDIT0102,cyclone_idai_2019,1108286363596664834,"Hundreds are dead, many more are missing and thousands are now at risk from massive #flooding in Mozambique, Zimbabwe and Malawi caused by Cyclone Idai and persistent rains. #CycloneIdai",missing_or_found_people,injured_or_dead_people,0.9,disagree,high
AUDIT0103,hurricane_irma_2017,908269183590453249,Finally home after the evacuation. Its been an adventure I dont want to repeat any time soon. #HurricaneIrma,displaced_people_and_evacuations,displaced_people_and_evacuations,0.9,agree,high
AUDIT0104,hurricane_harvey_2017,902682587851837440,🚨🚨🚨EMERGENCY🚨🚨🚨 👇🏼PLEASE RT HELP 👇🏼 #houstonflooding #TEXAS #TexasStrong #HurricaineHarvey #HurricaneHarvey #FloodSafety #HelpforHouston,requests_or_urgent_needs,requests_or_urgent_needs,0.9,agree,high
AUDIT0105,hurricane_florence_2018,1040553273680375808,"⚠️ Large #HurricaneFlorence is making landfall this morning at #Wilmington, NC. 90 mph winds, high storm surge, flooding rainfall!",caution_and_advice,caution_and_advice,0.9,agree,high
AUDIT0106,hurricane_harvey_2017,903756216647614465,Too tired for a full update from today but will give yall a recap tomorrow about @mutt_nation &amp; our #hurricaneharvey animal rescues efforts.,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.85,agree,medium
AUDIT0107,hurricane_dorian_2019,1168385727752626176,"Tweeps, please retweet for anyone who might need this info during Hurricane Dorian. Thank you.",requests_or_urgent_needs,caution_and_advice,0.8,disagree,medium
AUDIT0108,hurricane_dorian_2019,1167826283105009664,Id like for everyone in Nassau to understand that mainly Abaco and Freeport will be significantly damaged. Dorian is a small hurricane but powerful. The winds near the eye are strong and the out bands (which we will get) are much weaker.,infrastructure_and_utility_damage,caution_and_advice,0.85,disagree,medium
AUDIT0109,kerala_floods_2018,1030767839714529280,300 people are dead in #Chengannur Around 20000 crores loses is estimated. Kerala CM demanded 2000 crores as an emergency relief. Modi ji announced: 4800 cr for publicity 4000 cr for Kumbh 3900 cr for Shivaji statue 3000 cr for Patel Ji statue and 500 crore for #KeralaFloods,injured_or_dead_people,injured_or_dead_people,0.9,agree,high
AUDIT0110,hurricane_harvey_2017,903047574030082052,reddieforyou: Hey guys I hate asking this but my House has been destroyed by Hurricane Harvey. We are,infrastructure_and_utility_damage,requests_or_urgent_needs,0.9,disagree,high
AUDIT0111,hurricane_maria_2017,912421158250799105,Onslow County Emergency Management encourages residents to secure loose objects in their houses to prevent damage.,caution_and_advice,caution_and_advice,0.95,agree,high
AUDIT0112,california_wildfires_2018,1062077557703471104,Gerard Butlers house destroyed and Julia Roberts evacuated in California Wildfires,infrastructure_and_utility_damage,displaced_people_and_evacuations,0.9,disagree,high
AUDIT0113,hurricane_harvey_2017,902637474358345728,Insisting on cities that withstand climate change isnt politicizing #Harvey2017—it’s our moral duty @EricHolthaus,not_humanitarian,not_humanitarian,0.85,agree,medium
AUDIT0114,canada_wildfires_2016,729875009565396992,"Dear Russia, mexico and USA .. Please invade and help us anyway. We DO need the extra assistance in #ymmfire",requests_or_urgent_needs,requests_or_urgent_needs,0.85,agree,medium
AUDIT0115,hurricane_maria_2017,913557021588430848,In this article is a video of LESTER HOLT: hes talking about assistance and supplies being air lifted since ONE day AFTER MARIA HIT PR!,other_relevant_information,other_relevant_information,0.85,agree,medium
AUDIT0116,hurricane_maria_2017,912219033008828416,While the #FakePOTUS remains silent on Puerto Rico and its AMERICAN citizens in dire need of help,sympathy_and_support,requests_or_urgent_needs,0.8,disagree,medium
AUDIT0117,cyclone_idai_2019,1110897880787795969,"To afford the missing #CycloneIdai victims a decent burial, the GVT needs to mobilise: 1. Ground Penetrating Radar 2. K-9 Unit Sniffer Dogs 3. Forensic DNA Testing We shouldnt bury them unidentified or leave others mud-trapped beneath. @InfoMinZW @fortunechasi @nickmangwana",missing_or_found_people,missing_or_found_people,0.9,agree,high
AUDIT0118,hurricane_maria_2017,911658057460940800,#PrayForPuertoRico 100% of country has no #electricity Even #generators in #Hostpitals will run out soon! #Emergency #HurricaneMaria ὢDὤFἲA️ἰA⛈️,sympathy_and_support,infrastructure_and_utility_damage,0.95,disagree,high
AUDIT0119,hurricane_dorian_2019,1168249920261894146,"@AllHandsHearts, co-founded by new Concordia Leadership Council Member, @pnemcova, is on the ground and responding to Hurricane #Dorian. Watch how theyre leading on disaster relief around the world:  #Concordia19",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.9,agree,high
