annotation_id,annotation_owner,annotation_method,human_reviewer,human_review_status,final_primary_label,review_action,review_notes
AUDITV2_0036,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0037,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0038,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0039,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0040,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0041,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0042,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0043,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0044,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0045,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0046,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0047,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0048,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0049,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0050,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0051,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0052,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0053,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0054,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0055,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0056,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0057,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0058,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0059,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0060,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0061,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0062,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0063,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0064,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0065,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0066,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0067,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0068,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0069,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0070,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0071,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0072,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0073,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0074,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0075,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0076,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0077,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0078,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0079,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0080,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0081,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0082,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0083,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0084,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0085,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0086,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0087,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0088,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0089,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0090,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0091,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0092,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0093,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0094,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0095,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0096,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0097,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0098,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0099,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0100,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0101,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0102,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0103,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0104,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0105,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0106,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0107,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0108,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0109,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0110,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0111,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0112,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0113,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0114,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0115,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0116,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0117,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0118,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0119,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0120,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0121,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0122,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0123,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0124,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0125,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0126,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0127,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0128,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0129,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0130,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0131,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0132,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0133,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0134,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0135,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0136,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0137,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0138,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0139,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0140,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0141,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0142,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0143,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0144,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0145,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0146,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0147,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0148,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0149,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0150,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0151,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0152,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0153,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0154,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0155,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0156,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0157,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0158,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0159,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0160,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0161,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0162,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0163,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0164,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0165,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0166,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0167,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0168,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0169,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0170,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0171,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0172,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0173,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0174,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0175,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0176,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0177,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0178,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0179,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0180,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0181,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0182,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0183,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0184,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0185,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0186,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0187,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0188,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0189,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0190,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0191,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0192,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0193,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0194,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0195,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0196,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0197,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0198,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0199,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0200,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0201,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0202,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0203,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0204,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0205,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0206,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0207,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0208,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0209,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0210,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0211,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0212,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0213,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0214,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0215,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0216,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0217,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0218,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0219,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0220,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0221,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0222,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0223,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0224,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0225,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0226,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0227,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0228,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0229,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0230,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0231,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0232,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0233,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0234,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0235,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0236,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0237,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0238,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0239,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0240,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0241,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0242,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0243,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0244,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0245,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0246,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0247,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0248,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0249,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0250,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0251,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0252,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0253,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0254,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0255,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0256,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0257,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0258,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0259,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0260,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0261,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0262,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0263,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0264,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0265,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0266,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0267,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0268,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0269,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0270,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0271,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0272,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0273,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0274,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0275,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0276,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0277,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0278,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0279,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0280,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0281,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0282,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0283,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0284,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0285,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0286,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0287,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0288,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0289,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0290,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0291,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0292,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0293,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0294,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0295,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0296,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0297,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0298,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0299,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0300,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0301,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0302,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
