annotation_id,event,tweet_text,primary_label,secondary_label,confidence,ambiguous,reason
AUDITV2_0026,cyclone_idai_2019,"Cyclone Idai killed hundreds of people in Southern Africa. At least 600,000 people are in need of aid. Due to cultural bias and #PsychicNumbing, the event is not getting attention in western media.",,,,,
AUDITV2_0027,kerala_floods_2018,#Train18 to replace #ShatabdiExpress soon; #PV Sindhu on Forbes list of top 10 highest-paid #femaleathletes; #AirIndia seeks Rs 500 crore urgently to repay banks. Watch more in this episode of Business Wrap. #Kerala #floods #taxpayers @IndiaToday @aajtak,,,,,
AUDITV2_0028,canada_wildfires_2016,Residents see first images of homes following Fort McMurray wildfire. #D16,,,,,
AUDITV2_0029,hurricane_florence_2018,"My only issue w/ these weather channel people is they need to stop acting like a hurricane is a thinking being. Should as well stop naming them ffs. Also, WE are the ones living in their path. Not the other way around. #Florence #HurricaneFlorence2018",,,,,
AUDITV2_0030,kerala_floods_2018,"@CMOTamilNadu after going around flood damaged areas, its clear that Kerala needs abundance of fuel,vegetables, and a larger team of doctors, which have in greater number. Pls do the needful.",,,,,
AUDITV2_0031,kaikoura_earthquake_2016,IMO none of the scientists I have heard today have provided adequate explanations of what is going on in this fault. /3 #EQNZ,,,,,
AUDITV2_0032,california_wildfires_2018,"RT @WFLA: SAD UPDATE: 631 missing after North California #wildfires, death toll hits 63.",,,,,
AUDITV2_0033,canada_wildfires_2016,Comprehensive re-entry booklet for #ymm residents. No detail overlooked.,,,,,
AUDITV2_0034,canada_wildfires_2016,Alberta Wildfire Update – May 8 2016: A pink car remains among the ruins of destroyed,,,,,
AUDITV2_0035,hurricane_dorian_2019,RT @POPinDC: HURRICANE DORIAN 7 States Within The Cone,,,,,
AUDITV2_0036,california_wildfires_2018,"Rain in California means relief from wildfires -- but it is about to cause a bunch of new problems, complicating efforts to locate hundreds of missing people:  via @thinkprogress",,,,,
AUDITV2_0037,hurricane_florence_2018,"8.5 TRILLION gallons of water fell on North Carolina during #Florence. 1 gallon = 8.34 pounds That’s 35,445,000,000 TONS of water.",,,,,
AUDITV2_0038,california_wildfires_2018,RT @DailyCaller: Trump Promises ‘Safe Forests’ As He Surveys California Wildfire Damage,,,,,
AUDITV2_0039,kaikoura_earthquake_2016,What happen to the world today not giving Aid to new Zealand in need of at the time of earthquake need as the country need it,,,,,
AUDITV2_0040,california_wildfires_2018,"jfc he’s threatening to cut funding for forest management, that’s his response to an entire town being destroyed and a quarter of a million people being evacuated",,,,,
AUDITV2_0041,california_wildfires_2018,"Hear from 2 of the over 2,500 prisoner firefighters on the front lines in #California after a 24 hour shift. Theyre paid just $1 an hour to risk their lives fighting the #wildfires . #CampFire",,,,,
AUDITV2_0042,kerala_floods_2018,Red Alert issued for all 14 districts of Kerala. First time in the history 33 out of 39 dams opened. Flood and landslides in many places. Death reached 42. Very heavy Rains still continues in Kerala ! #PrayForKerala,,,,,
AUDITV2_0043,hurricane_florence_2018,"Stay strong, east coast. Help each other and dont forget your pets food, water, dishes, medication and vaccine records. If you have time, grab a favorite bed, blanket or toy. Get to safety as soon as possible. #HurricaneFlorence",,,,,
AUDITV2_0044,canada_wildfires_2016,RT @AVGivesBack: #AVtweeps Wildfire is threatening Fort McMurray communities in Alberta Canada Please help.#FortMacFire #AVGivesBack :,,,,,
AUDITV2_0045,kerala_floods_2018,Update #OpMadad - Road connectivity has been restored at 18 locations including the construction of 11 temporary bridges by @adgpi colns. Medical camps are also being run by @adgpi at various locations. #KeralaFloods2018 @nsitharaman,,,,,
AUDITV2_0046,hurricane_florence_2018,In #TheMorningNews at 6:32: Crash kills motorcyclist; Ciminelli leaves; Dems want delay on SCOTUS nominee; #Florence.,,,,,
AUDITV2_0047,canada_wildfires_2016,We dont need the help with the fireswe need the help now with food shelter and other necessities for these people,,,,,
AUDITV2_0048,cyclone_idai_2019,Where are the soldiers? This is a sick joke. The victims of the cyclone are are searching for their own dead with their bare hands. Every soldier in Manicaland should be in Chimanimani. The government is not taking this seriously. What a shame.,,,,,
AUDITV2_0049,hurricane_irma_2017,Need help after IRMA? please call The Ellsley Law Firm at 1-877-411-IRMA or visit us at,,,,,
AUDITV2_0050,cyclone_idai_2019,"Food ἳD Shelter Ἵ8️ Knowing your family are safe ❤️ Over a million lives have been devastated by Cyclone Idai. Hundreds are missing. Families across #Mozambique, #Zimbabwe and #Malawi are separated. We are helping them find each other again:",,,,,
AUDITV2_0051,california_wildfires_2018,Please continue to spread the word! People still in tents with flooding rains coming. Please pray for the health and safety of everyone affected by California wildfires! @TazKHC @FEMA @RepTedLieu #campfire #californiawildfires,,,,,
AUDITV2_0052,hurricane_irma_2017,"Returned home from #HurricaneIrma yesterday. Some damage, but cant complain. My home itself is dry and with power. #Grateful #photo",,,,,
AUDITV2_0053,kaikoura_earthquake_2016,Powerful 7.1 magnitude earthquake jolts New Zealand; prompts temporary evacuation in coast,,,,,
AUDITV2_0054,hurricane_harvey_2017,Crew put up temporary dams to block water from going over I-10. @NBCDFW #Harvey,,,,,
AUDITV2_0055,cyclone_idai_2019,Lives have been lost &amp; more may be lost. My son just telling me two Jnr golfers from Chimanimani are missing; little boys he played golf with. Homes swept away &amp; people marooned. God help us! We need each other. Let’s pray for lives 2 b spared.And mobilize support #Cycloneidai,,,,,
AUDITV2_0056,canada_wildfires_2016,Help is urgently needed! Donate to the @redcrosscanada Alberta Wildfire relief effort here:,,,,,
AUDITV2_0057,hurricane_maria_2017,Airmen assess #HurricaneMaria damage at Muniz Air National Guard Base in #PuertoRico and #evacuate civilians.,,,,,
AUDITV2_0058,hurricane_florence_2018,"Hot Coffee needed in The Carolinas, NC SC Please, help to send some coffee. #HurricaneFlorence #coffee #WilmingtonNC #WrightsvilleBeachNC",,,,,
AUDITV2_0059,hurricane_harvey_2017,"Thousands flee homes, others die &amp; drown from lack of resources.. Trumps response? What a crowd #hurricaneharvey",,,,,
AUDITV2_0060,kaikoura_earthquake_2016,"Heres a quick rundown of what our team can do to help you. Please call anytime, day or night. 0800 777 846. #eqnz",,,,,
AUDITV2_0061,hurricane_harvey_2017,Pray and consider how you can help! Hurricane Harvey,,,,,
AUDITV2_0062,kerala_floods_2018,"Kerala asks Centre for Rs 2000 cr, Centre says no. Kerala asks Centre to declare #KeralaFloods a National Disaster, Centre says no. Kerala requests Centre to accept aid offer from UAE, Centre says no. The centre sure loves to say no to Kerala!",,,,,
AUDITV2_0063,hurricane_irma_2017,"@BikeManStream Wish it would rain here, forest fires for days, plus I love a heavy rain.",,,,,
AUDITV2_0064,california_wildfires_2018,RT @_xTombStonex_: Please help us get the word out!! A RT would be enough to help us. Please please please!! @gst_global,,,,,
AUDITV2_0065,hurricane_harvey_2017,#Houston school district will give students 3 free meals a day for an entire year in wake of #Harvey flooding:,,,,,
AUDITV2_0066,california_wildfires_2018,"In recent days, Trump has threatened to cut off federal aid to California and Puerto Rico. We have 5,600 troops at the border without a mission and missing T-giving for his manufactured crisis, and a VA glitch means veterans haven’t been paid in months.",,,,,
AUDITV2_0067,kaikoura_earthquake_2016,Most we know of are reporting relatively moderate damage. One did say they broke a glass in their tasting room however!,,,,,
AUDITV2_0068,hurricane_irma_2017,"After Irma: Florida agriculture losses widespread, billions in damage - The Palm Beach Post #Drpecon",,,,,
AUDITV2_0069,hurricane_dorian_2019,We stand in prayer for those areas in the path of Hurricane Dorian. Especially our members and friends in central Florida. We stand ready to support in any way we can. One family one church. #myccc,,,,,
AUDITV2_0070,kaikoura_earthquake_2016,RT @geonet: Cant sleep? Wanna help us out? Fill out our Felt Detailed report for the M7.5 Kaikoura EQ #eqnz:,,,,,
AUDITV2_0071,hurricane_harvey_2017,UIL creating waivers for players displaced by Harvey.,,,,,
AUDITV2_0072,hurricane_dorian_2019,We hope everyone affected by Hurricane Dorian are staying safe! We’ll be looking into ways we can help following the storm. Let us know if you already know something we should be looking into! #besafe #hurricanedorian #storms #hurricane #helpingothers,,,,,
AUDITV2_0073,hurricane_dorian_2019,Just filed this story: Space Coast beachside evacuation ordered ahead of Hurricane Dorian @Florida_Today @USATODAY,,,,,
AUDITV2_0074,hurricane_irma_2017,"RT @PoloSandovalCNN: #BREAKING: A new threat is churning in the Atlantic, prompting weather watches in areas hit by Irma.",,,,,
AUDITV2_0075,hurricane_florence_2018,"I have to say the thoughts and prayers work I was worried earlier today but after checking 11:20 PM tonight I saw this about Florence. Thank positive @ Conway, South Carolina",,,,,
AUDITV2_0076,hurricane_harvey_2017,"Update from Middlebrook #ClearLake TX: rain, some wind gusts, still have power, no flooding. #HurricaneHarvey #weather #HarveyStorm",,,,,
AUDITV2_0077,kerala_floods_2018,"#KolkataBridgeCollapse #MajherhatBridge Hearts broken news. What happening in country? First 19 August Kerala flood and now broke the beach (MajherhatBridge). Please God save, those people now facing a problem.ὢ2",,,,,
AUDITV2_0078,california_wildfires_2018,"Death toll rises and more than 500 still missing, as rains douse California wildfire",,,,,
AUDITV2_0079,kerala_floods_2018,As per Mr.Saji cherian #Chengannur MLA. Kaki dam is releasing more water. So peoples in chengannur kindly move to safe place. #KeralaFloodRelief #KeralaSOS,,,,,
AUDITV2_0080,kerala_floods_2018,Mahesh anna small request kerala flood relief u gives 25 lacks i gues minimum 5 cr iam not happy tamil hero vijay gives 14 cr plz sir give 5 cr i proud to tell all heros fan to ur donetion,,,,,
AUDITV2_0081,hurricane_irma_2017,"#BREAKING: Magnitude 3.4 quake, epicenter East Foothills near Alum Rock area. 3rd small quake today in the South Bay",,,,,
AUDITV2_0082,hurricane_florence_2018,Hurricane Florence is gunning down where we live. Where would be a good place to evacuate my family need help for 2 nights @HelpforHeroes @fema @RedCross @ABC @TheDCUniverse @MarvelStudios,,,,,
AUDITV2_0083,hurricane_maria_2017,@realDonaldTrump @POTUS Please send help to our fellow US citizens suffering in Puerto Rico. You have the power to help! Youll be a hero!,,,,,
AUDITV2_0084,hurricane_maria_2017,#HurricaneMaria is still churning towards the East Coast #weather,,,,,
AUDITV2_0085,hurricane_dorian_2019,"@Publix is so awesome! They’ve responded magnificently to the hurricane. All the shelves are stocked full of everything, including water. @Publix, thank you! #HurricaneDorian #Dorian",,,,,
AUDITV2_0086,canada_wildfires_2016,"@flyPAL Hello Vancouver Office you havent answered our emails and phone calls, are you not even lifting a finger for YMM wildfire victims?",,,,,
AUDITV2_0087,kaikoura_earthquake_2016,Stay safe family 7.1 magnitude earthquake aint no joke,,,,,
AUDITV2_0088,hurricane_florence_2018,"Water is up in the Reedy River after a few days of rain from Hurricane Florence. Still, pretty sure this isn’t the greatest idea in the world. But they avoided the rocks and came out",,,,,
AUDITV2_0089,canada_wildfires_2016,"Dear Russia, mexico and USA .. Please invade and help us anyway. We DO need the extra assistance in #ymmfire",,,,,
AUDITV2_0090,hurricane_irma_2017,"Clay County District Schools and District offices will remain closed on Wednesday, September 13th, due to #HurricaneIrma damage.",,,,,
AUDITV2_0091,hurricane_maria_2017,The actual number of deaths following the devastating hurricane is not being reported by the government,,,,,
AUDITV2_0092,hurricane_florence_2018,Sad to hear 11 people passed away during #HurricaneFlorerence. I send my thoughts and prayers to the victims families and friends #MondayThoughts #Monday #HurricaneFlorence2018 #HurricaneFlorerence #Hurricane #Florence #FlorenceNC #FlorenceSC #Weather #NC #SC #USA #US #RIP ὤF,,,,,
AUDITV2_0093,hurricane_maria_2017,Puerto Ricos cop telling the truth about Hurricane Marias aidthis is terrible @realDonaldTrump. Mayor is evil!,,,,,
AUDITV2_0094,hurricane_dorian_2019,@bc_philanthropy @Drea_dawn78 I live in a camper and need help getting a generator before Dorian hits land. Any help appreciated. $Gabrat66. Can send proof,,,,,
AUDITV2_0095,california_wildfires_2018,How To Help The #CaliforniaWildfires people #LAFires #CaliforniaFires #CaliforniaWildfires  @LAPDChiefBeck @LACoFDPIO @SenSanders @SenatorDurbin @jeremycorbyn @JustinTrudeau @SanaSaeed @RashidaTlaib,,,,,
AUDITV2_0096,hurricane_maria_2017,Hurricane Maria: Storm lashes Dominican Republic after Puerto Rico #mari,,,,,
AUDITV2_0097,kaikoura_earthquake_2016,@CaritasNZ part of NGO Disaster Relief Forum &amp; is coordinating with members &amp; Ministry of Civil Defence Emergency Management #eqnz,,,,,
AUDITV2_0098,canada_wildfires_2016,"In the midst of tragedy, how wonderful it is to see the compassion extended toward wildfire victims and evacuees.",,,,,
AUDITV2_0099,hurricane_harvey_2017,"As of now death toll is up to 39. OUR HEARTS AND PRAYERS GO OUT TO THE PPL IN TEXAS, FOR THE HEROS WHO SAVED LIVES, AND THOSE WHO LOST LIVES",,,,,
AUDITV2_0100,hurricane_dorian_2019,@IamOnlyBetty Dorian is a category 5 and already done major damage to the Bahamas. They keep saying it’s gonna go around Florida and head straight to the Carolinas but the size of Dorian and the direction is going is saying otherwise,,,,,
AUDITV2_0101,hurricane_irma_2017,A mild intensity earthquake of magnitude 5.2 hit the Andaman Islands at around 5:41 a.m. on Wednesday. No damage,,,,,
AUDITV2_0102,kerala_floods_2018,"Congress President @RahulGandhi met with victims of the #KeralaFloods at the Relief Camp set up at the Engineering College, Chengannur in Kerala. #RebuildingKerala",,,,,
AUDITV2_0103,california_wildfires_2018,203 people are still missing from northern Californias deadliest and most destructive wildfire in modern history. The death toll stands at 88.,,,,,
AUDITV2_0104,kerala_floods_2018,@narendramodi STARTING FROM TOMORROW THINKERS AND PLANNERS MUST DRAW BLUEPRINTS BASED ON VIDEOS/ PHOTOS.. NO NEW #BRIDGE MUST BE BUILT WHERE #WATER DURING #FLOODS WILL GO OVER THE BRIDGE.. ALL #TRAIN TRACKS WHICH WERE SUBMERGED MUST BE RAISED ..,,,,,
AUDITV2_0105,hurricane_dorian_2019,@realDonaldTrump @Lady1776 Please do whatever you can do to assist Bahamian Govt. They have been obliterated. They need our help. I dont know what will happen when Dorian gets to us but I see what it has already done. I pray for ALL!,,,,,
AUDITV2_0106,kaikoura_earthquake_2016,RT @1NewsNZ: People turn to social media for help as tourists are caught up in earthquake.,,,,,
AUDITV2_0107,hurricane_maria_2017,Flood water can kill you in many ways. Please be careful. #Hurricane #Safety #waterislife #mniwiconi,,,,,
AUDITV2_0108,cyclone_idai_2019,"The deafening silence by SADC Secretariat on Cyclone Idai that hit Mozambique, Zimbabwe and Malawi that left many dead and destroyed lots of property is shocking. By now The Secretariat could have convene to discuss interventions. Chairman Namibia is futile and sleeping !",,,,,
AUDITV2_0109,hurricane_harvey_2017,RT @JohnBridges: San Marcos River approaching major flooding at Luling. #harvey,,,,,
AUDITV2_0110,california_wildfires_2018,Retweet this with the hashtag #retweet4good and State Farm will donate a dollar towards the California fire recovery. Please retweet with the hashtag ♥️,,,,,
AUDITV2_0111,hurricane_harvey_2017,"Items that are needed are clothes, food, and toiletries. Baby items and food. Anything that is useful, everything helps. #Austin #harvey",,,,,
AUDITV2_0112,hurricane_dorian_2019,@Jimrosehuskers @FSUFootball That Boise State QB did more damage to FSU than Dorian will end up doing to any of the state of Florida,,,,,
AUDITV2_0113,hurricane_maria_2017,"Recovering from #HurricaneMaria, a few tips and links to resources to help make the task less burdensome:  #hurricane",,,,,
AUDITV2_0114,cyclone_idai_2019,"The magnitude of the cyclone should`ve prompted the responsible authorities to act or at least firmly warn people so that those that could,would move to safer areas or be with their relatives elsewhere.Anyway now its a little too late for all that. #CycloneIdaiZW",,,,,
AUDITV2_0115,canada_wildfires_2016,"As we continue to support our employees &amp; those evacuated in the #ymmfire, share this article w/ others affected.",,,,,
AUDITV2_0116,cyclone_idai_2019,"Aid workers widen search for Mozambique cyclone survivors, death",,,,,
AUDITV2_0117,hurricane_dorian_2019,"How is this possible, given the horrors we witnessed after Irma? Hundreds of Floridas nursing homes and elder care facilities still dont meet all of the requirements for emergency power plans under state law.",,,,,
AUDITV2_0118,hurricane_harvey_2017,@realDonaldTrump Thank you Gen. John Kelly for running the #Harvey relief.,,,,,
AUDITV2_0119,canada_wildfires_2016,#ymmfire #FortMacFire Alberta government has approved emergency funding for wildfire evacuees $1250 per adult and $500 per dependent.,,,,,
AUDITV2_0120,cyclone_idai_2019,His Highness the Amir of the State of Kuwait ἟0἟C Sheikh Sabah Al-Ahmad Al-Jaber Al-Sabah has sent a message of condolence to the President of the Republic of Mozambique and to His Excellency the President of the Republic of Zimbabwe and the people affected by #cycloneIdai,,,,,
AUDITV2_0121,hurricane_dorian_2019,The creativity of this #PostcardsToVoters community inspires me! 20 more postcards for #AllenThomasForCongress. Hope they get there before Hurricane Dorian. Sending out prayers for all in the path of the hurricane. Please stay safe!,,,,,
AUDITV2_0122,canada_wildfires_2016,NS woman whose home was destroyed in ’08 wildfire says life gets better #RT,,,,,
AUDITV2_0123,canada_wildfires_2016,"RT @MBGovNews: For further general information on #Manitoba wildfires, go to  #mbfire",,,,,
AUDITV2_0124,hurricane_irma_2017,Our thoughts with Florida and victims of hurricane #Irma #NowPlaying La Vie En Rose -,,,,,
AUDITV2_0125,hurricane_florence_2018,RT CHellerTVNews: .LACOFD asking for all swift water response team members to report for possibly deployment out east. #HurricaneFlorence,,,,,
AUDITV2_0126,california_wildfires_2018,To help put in perspective the Camp Fire in California is 223 square miles. This map is what it would look like if that fire was here in Foxborough. Foxborough is approximately 20sq miles.,,,,,
AUDITV2_0127,canada_wildfires_2016,RT @511Alberta: #ABEmergencyAdvisories: Severe thunderstorm warning in effect for Red Deer and surrounding areas. The wildfire co :,,,,,
AUDITV2_0128,canada_wildfires_2016,Positive thoughts f/homeowners in Fort McMurray as evacuees begin return in June and the rebuild starts!  #gpab #ymm,,,,,
AUDITV2_0129,hurricane_dorian_2019,Thank God it didn’t do as bad damage to my island this year as when Irma and Maria did. ὤFἿD #VISTRONG ἟B἞E,,,,,
AUDITV2_0130,hurricane_maria_2017,US Navy evacuates residents from storm-devastated Dominica  Days after Hurricane Maria levelled countless buildings,,,,,
AUDITV2_0131,hurricane_irma_2017,"@washingtonpost  judge for yourself , notice the # of deaths compared to Harvey and Irma.",,,,,
AUDITV2_0132,kerala_floods_2018,AP CM @ncbn Conducts Aerial Survey of Flood Hit Areas in East Godavari Watch Video:  #NtvTelugu #EastGodavari #Floods #CBN #TDP #AndhraPradesh #Ap,,,,,
AUDITV2_0133,cyclone_idai_2019,"One week later, thousands of people remain missing across Mozambique, Malawi, and Zimbabwe. Millions of others across have been left destitute without food or basic services..",,,,,
AUDITV2_0134,canada_wildfires_2016,"#Wildfires spark evacuation order, state of emergency near Fort St. John - British Columbia - CBC News  | #BCwildFire",,,,,
AUDITV2_0135,hurricane_dorian_2019,#HurricaneDorian #DAT NEED HELP EVACUATING?  @reddogsusie @leighjalland @msmorgan1968 @EMluvsPibbles @samjarvis49 @Rehflocke @ChaliceGarden @Barbi_Twins @goode_hurt @BadProductionz @MY_BORDERCOLLIE @indigosky42 @Kiwi_CGFX @BCWildfireWkly @jr3597,,,,,
AUDITV2_0136,hurricane_florence_2018,TigerSwan is looking for self sufficient Risk Management Consultants to assist with Hurricane Florence on a short-term basis. #riskmanagement #operations #hurricane Check out the posting below!,,,,,
AUDITV2_0137,hurricane_florence_2018,"Hurricane Florence is a climate change triple threat -@MichaelEMann If we don’t act on CLIMATE CHANGE, the DESTRUCTION potential of slow-moving storms such as Harvey and Florence will only GET WORSE.",,,,,
AUDITV2_0138,kaikoura_earthquake_2016,RT @Kiwiseabreeze: Save the #eqnz cows!,,,,,
AUDITV2_0139,california_wildfires_2018,"a lot of sad events are happening right now, especially in my state of California. There are multiple ENORMOUS wildfires destroying homes and property that carry familys entire lives. You and I can help those in need here:  Please consider helping out♡",,,,,
AUDITV2_0140,kerala_floods_2018,#Kerala #Flood 2018 #LIVE #Updates: Heavy #rain alert in some areas over 24 hours as focus shifts to restoration; 210 dead so far,,,,,
AUDITV2_0141,hurricane_florence_2018,"Firefighters came together to pray for a mother and baby killed during Hurricane Florence, which left a total of at least 11 people dead",,,,,
AUDITV2_0142,canada_wildfires_2016,#Canadian #grocers @LoblawsON @saveonfoods @sobeys &amp; @WalmartCanada providing support to those affected by #YMMFire,,,,,
AUDITV2_0143,hurricane_florence_2018,Our thoughts and prayers are with all those on the East Coast who have been affected by the harsh condition created by Hurricane Florence. We are especially holding close the Lumbee Tribe of North Carolina and other tribal peoples as recover and healing efforts take shape.,,,,,
AUDITV2_0144,hurricane_maria_2017,The center of Hurricane #Maria is forecast to pass just west of a NOAA tsunami buoy sunrise Tues. Latest Pic:,,,,,
AUDITV2_0145,hurricane_harvey_2017,FIVE TORNADO WARNINGS AT ONCE??? SCREW YOU #HurricaneHarvey ὢC,,,,,
AUDITV2_0146,cyclone_idai_2019,"Well, I suppose it’s rather tough to hold out a begging bowl for aid when you hop around the world and between Harare &amp; Bulawayo in supremely luxurious private jet. Ὀ5ἿC",,,,,
AUDITV2_0147,hurricane_dorian_2019,Video: Catestrophic destruction from #HurricaneDorian inside a house with an infant in the #Bahamas ὢ5 #Dorian #HurricaneDorian2019,,,,,
AUDITV2_0148,hurricane_dorian_2019,"If you receive #SocialSecurity paper checks, #USPS will try to deliver checks in the affected hurricane areas early. Get up to date reports on service disruptions here:  #HurricaneDorian",,,,,
AUDITV2_0149,hurricane_florence_2018,From Evacuation to Devastation From Hurricane Florence:  via @YouTube,,,,,
AUDITV2_0150,hurricane_irma_2017,RT @NHC_Atlantic: Extreme Wind Warning issued for SW Collier County FL for winds in the eyewall of #Irma @NWSMiami,,,,,
AUDITV2_0151,cyclone_idai_2019,Lessons from floods in 2015 helped #Malawi residents and aid groups act quickly to prepare for #CycloneIdai:  #preparedness @newhumanitarian,,,,,
AUDITV2_0152,kerala_floods_2018,2nd IAG EMERGENCY CO-ORDINATION MEETING FOR IDUKKI IS SCHEDULED TODAY i.e. 4TH SEP 2018 | 3PM TO 5PM #KeralaFlood #RebuildKerala,,,,,
AUDITV2_0153,cyclone_idai_2019,"#MSF teams are continuing to walk &amp; crossing foot bridges in an outreach program to assess health needs in hard to reach areas like Ngorima clinic in Copper #Chimanimani where bridges, homes, shops &amp; police post were destroyed by #CYCLONEIDAI",,,,,
AUDITV2_0154,hurricane_florence_2018,Barre woman spearheads Hurricane Florence relief effort,,,,,
AUDITV2_0155,hurricane_maria_2017,Its going to take a lot more than thoughts and prayers to make this better,,,,,
AUDITV2_0156,hurricane_harvey_2017,#Houston Muslim group leader👉🏼mosques will shelter #Harvey victims through #EidAlAdha holiday. We will pray in the parking lot instead😢🇺🇸,,,,,
AUDITV2_0157,kerala_floods_2018,"How could I even think of making him PM? In the amidst of Kerala flood where people cannot be located whether dead or alive, this man is touring Europe.",,,,,
AUDITV2_0158,california_wildfires_2018,"Heavy rain is forecast in California beginning today, including in areas recently devastated by wildfires, making the risk of mudslides and flash flooding high. Make sure to heed all evacuation orders by local officials, and please stay safe.",,,,,
AUDITV2_0159,kerala_floods_2018,#Uttarkhand Floods 2013 - 5748 deaths Central Govt : CONGRESS Sanctions only 1000 Cr . ------------------------------- . #KeralaFloods 2018 - 357 Deaths Central Govt : BJP Sanctions 920 Cr + 2L for Death / 50K for Injured + Scheme Benefits + each states contribution.,,,,,
AUDITV2_0160,california_wildfires_2018,"In other space news, heres a little exclusive on how Californias Office of Emergency Services turned to @planetlabs for satellite imagery to help fight the Camp and Woolsey Fires",,,,,
AUDITV2_0161,california_wildfires_2018,"Hey @PK514, I really miss you so much and its been awhile right after the wildfires in California, but I hope you and @Mr_Mikeyv are okay, right now!!! ὤ2",,,,,
