review_priority,annotation_id,event,tweet_id,tweet_text,humaid_label,gpt4o_label,gpt4o_confidence,humaid_gpt4o_agree,researcher_first_pass,claude,gemini,grok,model_consensus_type,model_top_label,model_top_count,researcher_ambiguous,claude_ambiguous,gemini_ambiguous,grok_ambiguous,human_review_status,final_primary_label,review_action,review_notes
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0057,hurricane_maria_2017,912345647797370880,Airmen assess #HurricaneMaria damage at Muniz Air National Guard Base in #PuertoRico and #evacuate civilians.,infrastructure_and_utility_damage,displaced_people_and_evacuations,0.95,no,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,4_of_4,displaced_people_and_evacuations,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0066,california_wildfires_2018,1062123911096221696,"In recent days, Trump has threatened to cut off federal aid to California and Puerto Rico. We have 5,600 troops at the border without a mission and missing T-giving for his manufactured crisis, and a VA glitch means veterans haven’t been paid in months.",not_humanitarian,not_humanitarian,0.95,yes,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,yes,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0076,hurricane_harvey_2017,901424546078748672,"Update from Middlebrook #ClearLake TX: rain, some wind gusts, still have power, no flooding. #HurricaneHarvey #weather #HarveyStorm",caution_and_advice,other_relevant_information,0.85,no,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0079,kerala_floods_2018,1030848245780672512,As per Mr.Saji cherian #Chengannur MLA. Kaki dam is releasing more water. So peoples in chengannur kindly move to safe place. #KeralaFloodRelief #KeralaSOS,other_relevant_information,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0090,hurricane_irma_2017,907340757291454466,"Clay County District Schools and District offices will remain closed on Wednesday, September 13th, due to #HurricaneIrma damage.",other_relevant_information,infrastructure_and_utility_damage,0.9,no,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,4_of_4,infrastructure_and_utility_damage,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0098,canada_wildfires_2016,730024402050547712,"In the midst of tragedy, how wonderful it is to see the compassion extended toward wildfire victims and evacuees.",displaced_people_and_evacuations,sympathy_and_support,0.9,no,sympathy_and_support,sympathy_and_support,sympathy_and_support,sympathy_and_support,4_of_4,sympathy_and_support,4,yes,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0106,kaikoura_earthquake_2016,797991723183919104,RT @1NewsNZ: People turn to social media for help as tourists are caught up in earthquake.,other_relevant_information,requests_or_urgent_needs,0.85,no,requests_or_urgent_needs,requests_or_urgent_needs,requests_or_urgent_needs,requests_or_urgent_needs,4_of_4,requests_or_urgent_needs,4,yes,yes,yes,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0113,hurricane_maria_2017,912345991126437888,"Recovering from #HurricaneMaria, a few tips and links to resources to help make the task less burdensome:  #hurricane",sympathy_and_support,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0125,hurricane_florence_2018,1039498799964549120,RT CHellerTVNews: .LACOFD asking for all swift water response team members to report for possibly deployment out east. #HurricaneFlorence,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.95,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,no,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0136,hurricane_florence_2018,1039909564165091330,TigerSwan is looking for self sufficient Risk Management Consultants to assist with Hurricane Florence on a short-term basis. #riskmanagement #operations #hurricane Check out the posting below!,requests_or_urgent_needs,not_humanitarian,0.95,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0140,kerala_floods_2018,1031398683684884480,#Kerala #Flood 2018 #LIVE #Updates: Heavy #rain alert in some areas over 24 hours as focus shifts to restoration; 210 dead so far,caution_and_advice,injured_or_dead_people,0.9,no,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,4_of_4,injured_or_dead_people,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0142,canada_wildfires_2016,728619257907580929,#Canadian #grocers @LoblawsON @saveonfoods @sobeys &amp; @WalmartCanada providing support to those affected by #YMMFire,sympathy_and_support,rescue_volunteering_or_donation_effort,0.9,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,no,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0144,hurricane_maria_2017,912412134876774400,The center of Hurricane #Maria is forecast to pass just west of a NOAA tsunami buoy sunrise Tues. Latest Pic:,not_humanitarian,caution_and_advice,0.85,no,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0145,hurricane_harvey_2017,901705784593186816,FIVE TORNADO WARNINGS AT ONCE??? SCREW YOU #HurricaneHarvey ὢC,not_humanitarian,caution_and_advice,0.85,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,yes,yes,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0146,cyclone_idai_2019,1110270731873603584,"Well, I suppose it’s rather tough to hold out a begging bowl for aid when you hop around the world and between Harare &amp; Bulawayo in supremely luxurious private jet. Ὀ5ἿC",not_humanitarian,not_humanitarian,0.95,yes,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,yes,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0152,kerala_floods_2018,1036781348768411649,2nd IAG EMERGENCY CO-ORDINATION MEETING FOR IDUKKI IS SCHEDULED TODAY i.e. 4TH SEP 2018 | 3PM TO 5PM #KeralaFlood #RebuildKerala,other_relevant_information,other_relevant_information,0.85,yes,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,yes,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0156,hurricane_harvey_2017,903411179808317440,#Houston Muslim group leader👉🏼mosques will shelter #Harvey victims through #EidAlAdha holiday. We will pray in the parking lot instead😢🇺🇸,sympathy_and_support,displaced_people_and_evacuations,0.9,no,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,4_of_4,displaced_people_and_evacuations,4,no,no,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0158,california_wildfires_2018,1065447627574009856,"Heavy rain is forecast in California beginning today, including in areas recently devastated by wildfires, making the risk of mudslides and flash flooding high. Make sure to heed all evacuation orders by local officials, and please stay safe.",displaced_people_and_evacuations,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0163,california_wildfires_2018,1061137756276080640,"Reminder that California’s wildfires are being fought with slave labor, and that the prison system exists for this purpose alone.",not_humanitarian,other_relevant_information,0.8,no,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0167,hurricane_irma_2017,909065741776953346,"Miss America 2018 Is Dedicated To Hurricane Irma Victims, In A Heartwarming Show Of Support – Gears Of Biz",rescue_volunteering_or_donation_effort,sympathy_and_support,0.9,no,sympathy_and_support,sympathy_and_support,sympathy_and_support,sympathy_and_support,4_of_4,sympathy_and_support,4,no,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0168,canada_wildfires_2016,730770897204879364,Cash or a house – a tough choice for wildfire victims @,not_humanitarian,not_humanitarian,0.85,yes,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0170,hurricane_dorian_2019,1167629152633139200,"After Irma deaths, 60% of nursing homes still don’t have 4 days of backup power for AC #HurricaneDorian #Dorianflorida",injured_or_dead_people,infrastructure_and_utility_damage,0.9,no,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,4_of_4,infrastructure_and_utility_damage,4,no,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0176,cyclone_idai_2019,1113523322434850818,"Almost 5,000 children in Mozambique were separated from their parents by Cyclone Idai, says the UN. No one knows exactly how many people are missing yet. Thousands of people are still in camps waiting for floodwaters to recede and communication to be restored.",displaced_people_and_evacuations,missing_or_found_people,0.9,no,missing_or_found_people,missing_or_found_people,missing_or_found_people,missing_or_found_people,4_of_4,missing_or_found_people,4,no,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0177,hurricane_florence_2018,1041463178104844288,Not a fan - Drinking a Coastal Evacuation with Brett by @CapeMayBrewCo at @capemaybrewco —,displaced_people_and_evacuations,not_humanitarian,0.98,no,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,4_of_4,not_humanitarian,4,no,no,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0180,hurricane_dorian_2019,1167936998000062469,Mapping tools for #Hurricane #Dorian have been created by @columbia_ncdp to aid responders and NGOs in identifying and meeting the needs of vulnerable populations. #EMGTwitter #HurricaneDorian #HurricaneDorian2019,requests_or_urgent_needs,other_relevant_information,0.9,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0184,kaikoura_earthquake_2016,797838542961418240,"RT @ali_bateman: Beautiful country, great people. Cant believe this has happened again! NZ earthquake #eqnz",other_relevant_information,sympathy_and_support,0.85,no,sympathy_and_support,sympathy_and_support,sympathy_and_support,sympathy_and_support,4_of_4,sympathy_and_support,4,no,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0198,canada_wildfires_2016,729155340416225280,RT @wildlandfireAZ: RT @PCIAA: In a wildfire evacuation pets have needs too-build a kit for your animals today #WildfirePrepDay,displaced_people_and_evacuations,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0202,cyclone_idai_2019,1108902481814278144,"Dramatic footage from rescuers in Mozambique has been released, as Cyclone Idai leaves hundreds dead and many more trapped by rising flood waters",rescue_volunteering_or_donation_effort,injured_or_dead_people,0.8,no,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,4_of_4,injured_or_dead_people,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0211,hurricane_harvey_2017,901721776891215872,"RT @opalessense: A #WarningὪ8Ὢ8Ὢ8Ὢ8Ὢ8 NOW, WHERE WAS EVACUATION NOTICE PRYOR TO ARRIVAL OF #HurricaneHarveyἙ8️Ἑ8️Ἑ8️Ἑ8️Ἑ8️",displaced_people_and_evacuations,caution_and_advice,0.85,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0216,hurricane_florence_2018,1039606189200486400,Fuck this piece of shit thousands of people died because of your incompetence,not_humanitarian,injured_or_dead_people,0.85,no,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,4_of_4,injured_or_dead_people,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0231,hurricane_harvey_2017,902907292869427202,"Tropical Storm Harvey makes landfall again, this time in Southern Louisiana. Flash floods and 10in of rain threatens New Orleans #kushelecon",other_relevant_information,caution_and_advice,0.85,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0235,kaikoura_earthquake_2016,797901192449835008,#RIP to the two people who died in last nights earthquake #eqnz o,sympathy_and_support,injured_or_dead_people,0.95,no,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people,4_of_4,injured_or_dead_people,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0243,kaikoura_earthquake_2016,797910166473580544,Tankers will be refilling the reservoirs but this will only keep up with drinking supply. U will need to continue conserving water 2/2 #eqnz,requests_or_urgent_needs,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0248,cyclone_idai_2019,1110754565517922304,Many families have been separated or lost contact during #CycloneIdai. We’re training volunteers to be able to assist families affected by #CycloneIdai in #Mozambique to search for their relatives and restore #familylinks.,rescue_volunteering_or_donation_effort,missing_or_found_people,0.9,no,missing_or_found_people,missing_or_found_people,missing_or_found_people,missing_or_found_people,4_of_4,missing_or_found_people,4,no,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0251,hurricane_maria_2017,913773519464484864,Congresswoman Debbie Wasserman-Schultz meets with Puerto Rican business leaders in Broward about #HurricaneMaria relief @nbc6,other_relevant_information,other_relevant_information,0.85,yes,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0254,hurricane_maria_2017,914108319882731520,WATCH LIVE: @FEMA and #DoD officials provide an update on #HurricaneMaria relief efforts at 8:30 a.m. EDT on .,other_relevant_information,other_relevant_information,0.85,yes,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0255,hurricane_irma_2017,908656495700709376,We have a senior adult couple that sustained heavy flood damage to their home who has some needs today: moving,infrastructure_and_utility_damage,requests_or_urgent_needs,0.9,no,requests_or_urgent_needs,requests_or_urgent_needs,requests_or_urgent_needs,requests_or_urgent_needs,4_of_4,requests_or_urgent_needs,4,yes,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0257,hurricane_irma_2017,908040433892302848,Headline is BS! They rescinded aid because they now need it for their own country not because of Trump. Read the article!,requests_or_urgent_needs,not_humanitarian,0.95,no,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,yes,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0258,hurricane_florence_2018,1041674459990634496,RT @10thCAB: #PSA from the #FAA: Understand that the airspace is actively being used for rescue efforts and must be kept clear to ensure the safety of crews and potentially the individuals on board who may be receiving medical attention. #HurricaneFlorence,other_relevant_information,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0264,hurricane_florence_2018,1039880303240798209,RT @1sportsfanatic: List Of Hurricane Florence Pet Friendly Shelters,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,0.9,no,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,4_of_4,displaced_people_and_evacuations,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0266,hurricane_maria_2017,913102655303688194,"Learn from our children. Slowly but surely Puerto Rico will be Back!!! Hurricane Maria Adios, now back to work!!!",not_humanitarian,not_humanitarian,0.9,yes,sympathy_and_support,sympathy_and_support,sympathy_and_support,sympathy_and_support,4_of_4,sympathy_and_support,4,yes,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0267,kerala_floods_2018,1035097537491947520,#KeralaFloods : Why #dams cannot control #devastating floods #HTAnalysis by,infrastructure_and_utility_damage,not_humanitarian,0.9,no,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,no,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0285,hurricane_irma_2017,907147945849622528,2:30 AM: Irma will continue to track up the FL Peninsula with gradual weakening. The Wiregrass will see persistent rain &amp; breezy conditions.,other_relevant_information,caution_and_advice,0.85,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0292,hurricane_dorian_2019,1167817612673409024,Stay safe everyone. I hope damage is minimal,infrastructure_and_utility_damage,sympathy_and_support,0.85,no,sympathy_and_support,sympathy_and_support,sympathy_and_support,sympathy_and_support,4_of_4,sympathy_and_support,4,no,yes,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0301,kaikoura_earthquake_2016,797794743082053632,"If you live on low lying ground within 1km of the coast, evacuate #chch #newzealand #christchurch #tsunami #nz #earthquake #eqnz",displaced_people_and_evacuations,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0303,hurricane_harvey_2017,901804793567596545,Texas Gov. Greg Abbott says flooding in Houston from #Harvey may be the worst the city has ever suffered.,not_humanitarian,infrastructure_and_utility_damage,0.9,no,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,4_of_4,infrastructure_and_utility_damage,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0308,kaikoura_earthquake_2016,797988403870502912,"Please donate to our special earthquake appeal. Help your neighbours, friends &amp; fellow Kiwis  #eqnz",requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.95,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,no,no,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0322,hurricane_maria_2017,914825718160338944,"RT @DeptofDefense: For more on #DoD and #FEMA #HurricaneMaria relief efforts, watch this account, and check out @FEMA on Twitter.",other_relevant_information,other_relevant_information,0.85,yes,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0337,hurricane_irma_2017,908015706427596801,Hurricane Update: How you can help or if you need help! -,sympathy_and_support,rescue_volunteering_or_donation_effort,0.9,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,yes,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0338,cyclone_idai_2019,1107795420489625600,RT @Peter52501942: Who can help at chimanimani high school am looking for Shalin Mugano please,sympathy_and_support,missing_or_found_people,0.95,no,missing_or_found_people,missing_or_found_people,missing_or_found_people,missing_or_found_people,4_of_4,missing_or_found_people,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0340,hurricane_florence_2018,1039899122789216257,#DoYouKnow how to #PumpOut a #Flooded #Basement? For info view the video at  #Flooding #Floods #Cellar #Hurricane #FloodDamage #HomeRepair #Home #House #Repair #Renovation #Florence #Cleaning #HomeReno #JITDT #HomeRenovation #Damage #Damaged #StormDamage,infrastructure_and_utility_damage,caution_and_advice,0.9,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0341,kerala_floods_2018,1032647473553006592,Are you aware who is incharge and status of red cross society of kerala state.,not_humanitarian,not_humanitarian,0.8,yes,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,yes,no,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0342,canada_wildfires_2016,733649652042637318,"Lake Mead at record low, California drops water rules, Alberta wildfire still spreading Via @westgov",caution_and_advice,other_relevant_information,0.85,no,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,yes,yes,no,no,pending,,,
