annotation_id,event,tweet_id,tweet_text,humaid_label,gpt4o_label,gpt4o_confidence,humaid_gpt4o_agree,researcher_first_pass_primary,researcher_first_pass_secondary,researcher_first_pass_confidence,researcher_first_pass_ambiguous,researcher_first_pass_reason,claude_primary,claude_secondary,claude_confidence,claude_ambiguous,claude_reason,gemini_primary,gemini_secondary,gemini_confidence,gemini_ambiguous,gemini_reason,grok_primary,grok_secondary,grok_confidence,grok_ambiguous,grok_reason
AUDITV2_0018,canada_wildfires_2016,729721538421915648,"RT @Norm_Farrell: Instead of $10B for F-35s, spend for a large fleet of Canadian water bombers. #cdnpoli  .",not_humanitarian,not_humanitarian,0.85,yes,other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,"Policy suggestion to fund firefighting aircraft, not an active aid operation.",other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,Opinion on redirecting government spending toward wildfire water bombers.,other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,Advocates for government spending on firefighting water bombers rather than military jets.,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Suggests spending on water bombers instead of F-35s for wildfire response.
AUDITV2_0019,hurricane_florence_2018,1041953890499878912,Someone tell me how I can help the pups affected by Hurricane Florence all the way in California!! #HurricanceFlorence #savethepuppies,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.85,no,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,no,Asks how to help animals affected by Florence.,rescue_volunteering_or_donation_effort,not_humanitarian,2,yes,"Asks how to help animals affected, though geography mentioned is confusing.",rescue_volunteering_or_donation_effort,sympathy_and_support,3,no,Inquires how to volunteer or provide aid for animals affected by the hurricane.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Asks how to help pups affected by Hurricane Florence.
AUDITV2_0020,hurricane_irma_2017,908312243787501569,"In #Haiti #Irma comes on heels of 3 yrs of drought, #HurricaneMatthew, compounding food insecurity, #displacement",displaced_people_and_evacuations,other_relevant_information,0.85,no,displaced_people_and_evacuations,other_relevant_information,3,no,Explicitly notes displacement compounded by prior disasters and food insecurity.,displaced_people_and_evacuations,requests_or_urgent_needs,2,yes,Notes compounding food insecurity and displacement from Irma in Haiti.,displaced_people_and_evacuations,requests_or_urgent_needs,2,yes,Highlights worsening displacement and food insecurity across Haiti following drought and hurricane.,other_relevant_information,displaced_people_and_evacuations,2,yes,Notes Irma compounding food insecurity and displacement in Haiti.
AUDITV2_0021,kaikoura_earthquake_2016,798640527323197440,Pls help our furry friends #eqnz,requests_or_urgent_needs,requests_or_urgent_needs,0.85,yes,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Direct request to help animals affected by the quake.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Requests help for animals after the earthquake.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Appeals for help and rescue assistance for pets affected by earthquake.,rescue_volunteering_or_donation_effort,,3,no,Plea to help furry friends after quake.
AUDITV2_0022,hurricane_dorian_2019,1167536312179744768,"The Great Labor Day Hurricane of 1935 killed about 500 people, among them were 259 World War I vets who were constructing the Overseas Highway and residing in government camps.",injured_or_dead_people,injured_or_dead_people,0.9,yes,not_humanitarian,injured_or_dead_people,2,yes,"Historical hurricane casualty fact, not about the current crisis.",injured_or_dead_people,other_relevant_information,2,yes,Cites historical hurricane death toll as a comparison point.,injured_or_dead_people,other_relevant_information,3,no,Historical comparison citing 500 fatalities from the 1935 Labor Day hurricane.,injured_or_dead_people,other_relevant_information,2,yes,Historical death toll from 1935 Labor Day Hurricane including vets.
AUDITV2_0024,california_wildfires_2018,1065204001174626304,"#California citizens have been DEVASTATED with horrific fires for to long and has DISPLACED thousands and killed 100s ὤF ,,lets hope and pray this will end soon many are in DESPERATE need of assistance and support.. @ITALYFORRTRUMP ὤF Many AMERICANS are feeling your pain ἟A἟8⚘἟A἟8",sympathy_and_support,displaced_people_and_evacuations,0.8,no,displaced_people_and_evacuations,sympathy_and_support,2,yes,"Explicitly reports thousands displaced, with prayers and support added.",displaced_people_and_evacuations,requests_or_urgent_needs,1,yes,"Mixed summary citing displacement, deaths and desperate need of assistance.",sympathy_and_support,displaced_people_and_evacuations,2,yes,Expresses emotional support and prayers for displaced wildfire victims in California.,sympathy_and_support,requests_or_urgent_needs,2,yes,Notes devastation displacement deaths and need for assistance and support.
AUDITV2_0025,cyclone_idai_2019,1110941846614745089,"almost shed tears, This thing of Zanufizing every thing must stop. it happened in 2008 in Bikita, people died of hunger now its the same story. If we continue in this path, more people will die. For how long shall we continue to b silenced by this murderous regimeὢ2ὢD",injured_or_dead_people,injured_or_dead_people,0.8,yes,injured_or_dead_people,other_relevant_information,2,yes,Discusses past hunger deaths and warns more people may die.,other_relevant_information,injured_or_dead_people,1,yes,Political complaint about repeated government failure tied to past hunger deaths.,injured_or_dead_people,other_relevant_information,2,yes,Expresses grief and political critique over disaster deaths and starvation.,other_relevant_information,injured_or_dead_people,2,yes,Critiques regime and notes people died of hunger in past similar situations.
AUDITV2_0026,cyclone_idai_2019,1110399947449516035,"Cyclone Idai killed hundreds of people in Southern Africa. At least 600,000 people are in need of aid. Due to cultural bias and #PsychicNumbing, the event is not getting attention in western media.",injured_or_dead_people,injured_or_dead_people,0.8,yes,injured_or_dead_people,requests_or_urgent_needs,2,yes,Reports hundreds killed and a very large population needing aid.,requests_or_urgent_needs,injured_or_dead_people,2,yes,"States 600,000 people in need of aid alongside the death toll and media bias claim.",injured_or_dead_people,requests_or_urgent_needs,2,yes,"Reports hundreds killed by Cyclone Idai and 600,000 people needing aid.",injured_or_dead_people,other_relevant_information,2,yes,Reports hundreds killed and 600000 in need of aid with media critique.
AUDITV2_0027,kerala_floods_2018,1033003828671643648,#Train18 to replace #ShatabdiExpress soon; #PV Sindhu on Forbes list of top 10 highest-paid #femaleathletes; #AirIndia seeks Rs 500 crore urgently to repay banks. Watch more in this episode of Business Wrap. #Kerala #floods #taxpayers @IndiaToday @aajtak,requests_or_urgent_needs,not_humanitarian,0.95,no,not_humanitarian,,3,no,Business-news roundup is mostly unrelated; flood hashtags are incidental.,not_humanitarian,other_relevant_information,2,yes,News roundup bundling unrelated business items with the floods hashtag.,not_humanitarian,,3,no,"Business news headlines about trains, athletes, and airlines using unrelated hashtags.",not_humanitarian,,3,no,Business news wrap with only tangential mention of Kerala floods.
AUDITV2_0028,canada_wildfires_2016,732246739659427840,Residents see first images of homes following Fort McMurray wildfire. #D16,other_relevant_information,infrastructure_and_utility_damage,0.85,no,infrastructure_and_utility_damage,other_relevant_information,3,no,Residents are shown homes after wildfire damage.,infrastructure_and_utility_damage,,3,no,Residents see first images of homes after the wildfire.,infrastructure_and_utility_damage,other_relevant_information,3,no,Reports residents viewing first images of homes following the Fort McMurray wildfire.,infrastructure_and_utility_damage,other_relevant_information,2,yes,Residents see first images of homes following wildfire.
AUDITV2_0029,hurricane_florence_2018,1040187489938558977,"My only issue w/ these weather channel people is they need to stop acting like a hurricane is a thinking being. Should as well stop naming them ffs. Also, WE are the ones living in their path. Not the other way around. #Florence #HurricaneFlorence2018",not_humanitarian,not_humanitarian,0.95,yes,not_humanitarian,,3,no,"Commentary about hurricane naming and media language, not humanitarian information.",not_humanitarian,other_relevant_information,2,yes,"Opinion about media personifying storms, not about humanitarian impact.",not_humanitarian,other_relevant_information,3,no,Opinion piece critiquing TV weather channels and storm naming practices.,other_relevant_information,,3,no,Critique of weather channel anthropomorphizing the hurricane.
AUDITV2_0031,kaikoura_earthquake_2016,798052551954493440,IMO none of the scientists I have heard today have provided adequate explanations of what is going on in this fault. /3 #EQNZ,not_humanitarian,not_humanitarian,0.95,yes,other_relevant_information,,3,no,On-topic discussion of earthquake science without impact or action.,other_relevant_information,,2,no,Commentary that scientists haven't adequately explained the fault activity.,other_relevant_information,,3,no,Expresses opinion that scientists have not adequately explained the fault line activity.,other_relevant_information,,3,no,Critique that scientists have not provided adequate explanations of the fault.
AUDITV2_0032,california_wildfires_2018,1063420171707142145,"RT @WFLA: SAD UPDATE: 631 missing after North California #wildfires, death toll hits 63.",missing_or_found_people,missing_or_found_people,0.95,yes,missing_or_found_people,injured_or_dead_people,3,no,Leads with 631 missing and also reports the death toll.,missing_or_found_people,injured_or_dead_people,2,yes,Reports 631 missing alongside a rising death toll of 63.,missing_or_found_people,injured_or_dead_people,2,yes,Reports 631 people missing and 63 confirmed dead in California wildfires.,injured_or_dead_people,missing_or_found_people,2,yes,Sad update 631 missing death toll hits 63.
AUDITV2_0033,canada_wildfires_2016,734986101824196609,Comprehensive re-entry booklet for #ymm residents. No detail overlooked.,not_humanitarian,caution_and_advice,0.85,no,caution_and_advice,displaced_people_and_evacuations,2,yes,Re-entry booklet provides practical guidance for returning residents.,caution_and_advice,other_relevant_information,2,yes,Announces a re-entry guidance booklet for returning residents.,caution_and_advice,displaced_people_and_evacuations,3,no,Promotes a comprehensive re-entry guidance booklet for returning wildfire evacuees.,other_relevant_information,,3,no,Comprehensive re-entry booklet for residents.
AUDITV2_0035,hurricane_dorian_2019,1167687427172921345,RT @POPinDC: HURRICANE DORIAN 7 States Within The Cone,other_relevant_information,other_relevant_information,0.8,yes,caution_and_advice,other_relevant_information,2,yes,Cone update communicates areas under hurricane threat.,caution_and_advice,other_relevant_information,2,yes,Reports the hurricane's projected path/cone affecting 7 states.,caution_and_advice,other_relevant_information,3,no,Forecast advisory warning showing states located within the hurricane cone.,caution_and_advice,other_relevant_information,2,yes,Hurricane Dorian 7 states within the cone.
AUDITV2_0036,california_wildfires_2018,1065305263111094274,"Rain in California means relief from wildfires -- but it is about to cause a bunch of new problems, complicating efforts to locate hundreds of missing people:  via @thinkprogress",missing_or_found_people,missing_or_found_people,0.9,yes,missing_or_found_people,caution_and_advice,2,yes,Focuses on complications in locating hundreds of missing people.,missing_or_found_people,other_relevant_information,2,yes,Notes rain complicating efforts to locate hundreds of missing wildfire victims.,missing_or_found_people,rescue_volunteering_or_donation_effort,2,yes,Reports rain complicating search efforts to locate hundreds of missing wildfire victims.,other_relevant_information,infrastructure_and_utility_damage,2,yes,Rain relief from wildfires but will cause new problems complicating locating missing.
AUDITV2_0038,california_wildfires_2018,1064228238598291457,RT @DailyCaller: Trump Promises ‘Safe Forests’ As He Surveys California Wildfire Damage,not_humanitarian,infrastructure_and_utility_damage,0.85,no,infrastructure_and_utility_damage,other_relevant_information,2,yes,Reports presidential response while surveying wildfire damage.,other_relevant_information,caution_and_advice,2,yes,Reports official visit and forest-management policy promise amid wildfire damage.,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Reports presidential survey of wildfire damage and commitments to forest safety.,other_relevant_information,,3,no,Trump promises safe forests as he surveys wildfire damage.
AUDITV2_0039,kaikoura_earthquake_2016,798382297472856065,What happen to the world today not giving Aid to new Zealand in need of at the time of earthquake need as the country need it,not_humanitarian,requests_or_urgent_needs,0.85,no,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,States New Zealand needs aid after the earthquake.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Complains that the world failed to give aid to New Zealand after the quake.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Discusses and questions the provision of international disaster relief aid to New Zealand.,sympathy_and_support,requests_or_urgent_needs,2,yes,Questions lack of aid to New Zealand after earthquake.
AUDITV2_0041,california_wildfires_2018,1065482587882176513,"Hear from 2 of the over 2,500 prisoner firefighters on the front lines in #California after a 24 hour shift. Theyre paid just $1 an hour to risk their lives fighting the #wildfires . #CampFire",rescue_volunteering_or_donation_effort,other_relevant_information,0.85,no,rescue_volunteering_or_donation_effort,other_relevant_information,3,no,Describes firefighters actively combating California wildfires.,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Describes prisoner firefighters on the front lines of the wildfire response.,rescue_volunteering_or_donation_effort,other_relevant_information,3,no,"Reports on 2,500 prisoner firefighters deployed on the front lines fighting wildfires.",rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Reports on prisoner firefighters risking lives for $1 an hour.
AUDITV2_0042,kerala_floods_2018,1030888886896128001,Red Alert issued for all 14 districts of Kerala. First time in the history 33 out of 39 dams opened. Flood and landslides in many places. Death reached 42. Very heavy Rains still continues in Kerala ! #PrayForKerala,caution_and_advice,injured_or_dead_people,0.9,no,caution_and_advice,injured_or_dead_people,2,yes,Red alert is the leading actionable warning; deaths and flooding are secondary.,caution_and_advice,injured_or_dead_people,1,yes,Reports a Red Alert and dam openings alongside the rising death toll.,caution_and_advice,injured_or_dead_people,2,yes,"Official red alert warning across 14 districts, dam openings, and 42 deaths.",injured_or_dead_people,caution_and_advice,2,yes,Red alert death reached 42 heavy rains continue pray for Kerala.
AUDITV2_0043,hurricane_florence_2018,1039427842553958400,"Stay strong, east coast. Help each other and dont forget your pets food, water, dishes, medication and vaccine records. If you have time, grab a favorite bed, blanket or toy. Get to safety as soon as possible. #HurricaneFlorence",sympathy_and_support,caution_and_advice,0.95,no,caution_and_advice,sympathy_and_support,3,no,Gives concrete pet-preparedness and evacuation safety guidance.,caution_and_advice,,3,no,Gives explicit safety instructions for pets and evacuation preparation.,caution_and_advice,sympathy_and_support,3,no,"Provides safety guidance, pet preparation tips, and evacuation advice for hurricane.",caution_and_advice,sympathy_and_support,2,yes,Advice to stay strong help each other remember pets get to safety.
AUDITV2_0044,canada_wildfires_2016,728644089319690240,RT @AVGivesBack: #AVtweeps Wildfire is threatening Fort McMurray communities in Alberta Canada Please help.#FortMacFire #AVGivesBack :,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.85,no,rescue_volunteering_or_donation_effort,,3,no,Directly asks people to help communities threatened by wildfire.,rescue_volunteering_or_donation_effort,caution_and_advice,2,yes,Direct plea for help as wildfire threatens the community.,rescue_volunteering_or_donation_effort,caution_and_advice,3,no,Appeals for public help and charitable donations as wildfire threatens communities.,rescue_volunteering_or_donation_effort,caution_and_advice,2,yes,Wildfire threatening communities please help.
AUDITV2_0045,kerala_floods_2018,1030876219544203265,Update #OpMadad - Road connectivity has been restored at 18 locations including the construction of 11 temporary bridges by @adgpi colns. Medical camps are also being run by @adgpi at various locations. #KeralaFloods2018 @nsitharaman,infrastructure_and_utility_damage,infrastructure_and_utility_damage,0.9,yes,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,2,yes,"Reports military restoration work, temporary bridges and medical camps.",rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,2,yes,Reports military-led bridge restoration and medical camps as relief efforts.,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,2,yes,"Military relief operations restoring road connectivity, building temporary bridges, running clinics.",infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,2,yes,Road connectivity restored temporary bridges medical camps by army.
AUDITV2_0046,hurricane_florence_2018,1041634754351783936,In #TheMorningNews at 6:32: Crash kills motorcyclist; Ciminelli leaves; Dems want delay on SCOTUS nominee; #Florence.,not_humanitarian,injured_or_dead_people,0.9,no,not_humanitarian,,3,no,News teaser merely mentions Florence without humanitarian information.,not_humanitarian,other_relevant_information,2,yes,News bulletin bundling unrelated stories with the hurricane hashtag.,not_humanitarian,,3,no,Generic morning news broadcast teaser listing unrelated stories with hurricane hashtag.,not_humanitarian,,2,yes,Morning news list including Florence among unrelated items.
AUDITV2_0048,cyclone_idai_2019,1109614484019130368,Where are the soldiers? This is a sick joke. The victims of the cyclone are are searching for their own dead with their bare hands. Every soldier in Manicaland should be in Chimanimani. The government is not taking this seriously. What a shame.,not_humanitarian,injured_or_dead_people,0.9,no,missing_or_found_people,requests_or_urgent_needs,2,yes,Victims are searching for their dead and the tweet urgently demands response support.,rescue_volunteering_or_donation_effort,injured_or_dead_people,2,yes,Criticizes absence of soldiers while victims search for the dead themselves.,rescue_volunteering_or_donation_effort,injured_or_dead_people,2,yes,Criticizes lack of military deployment while victims search for dead bodies.,injured_or_dead_people,requests_or_urgent_needs,2,yes,Victims searching for their own dead government not taking seriously.
AUDITV2_0049,hurricane_irma_2017,909503080567361541,Need help after IRMA? please call The Ellsley Law Firm at 1-877-411-IRMA or visit us at,requests_or_urgent_needs,requests_or_urgent_needs,0.85,yes,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Offers post-Irma assistance through a law firm helpline.,not_humanitarian,rescue_volunteering_or_donation_effort,2,yes,Law-firm advertisement using the storm as a marketing hook.,not_humanitarian,,3,no,Commercial advertisement by a law firm soliciting clients after Hurricane Irma.,not_humanitarian,,3,no,Law firm advertisement for post-Irma help.
AUDITV2_0050,cyclone_idai_2019,1110478293550149632,"Food ἳD Shelter Ἵ8️ Knowing your family are safe ❤️ Over a million lives have been devastated by Cyclone Idai. Hundreds are missing. Families across #Mozambique, #Zimbabwe and #Malawi are separated. We are helping them find each other again:",missing_or_found_people,rescue_volunteering_or_donation_effort,0.9,no,missing_or_found_people,rescue_volunteering_or_donation_effort,3,no,Focuses on separated/missing families and an effort to reunite them.,missing_or_found_people,requests_or_urgent_needs,2,yes,Describes helping separated families reunite and hundreds still missing.,missing_or_found_people,rescue_volunteering_or_donation_effort,3,no,Highlights humanitarian efforts to find hundreds of missing people and reunite families.,missing_or_found_people,rescue_volunteering_or_donation_effort,2,yes,Hundreds missing families separated we are helping them find each other.
AUDITV2_0051,california_wildfires_2018,1065388745648680966,Please continue to spread the word! People still in tents with flooding rains coming. Please pray for the health and safety of everyone affected by California wildfires! @TazKHC @FEMA @RepTedLieu #campfire #californiawildfires,sympathy_and_support,sympathy_and_support,0.85,yes,sympathy_and_support,displaced_people_and_evacuations,2,yes,Prays for wildfire-affected people while noting some remain in tents.,displaced_people_and_evacuations,sympathy_and_support,2,yes,"People still in tents amid more rain, plus a request to spread word and pray.",sympathy_and_support,displaced_people_and_evacuations,2,yes,Urges prayers and awareness for wildfire victims living in tents facing rain.,sympathy_and_support,displaced_people_and_evacuations,2,yes,People still in tents pray for health and safety of affected.
AUDITV2_0052,hurricane_irma_2017,907587426704662529,"Returned home from #HurricaneIrma yesterday. Some damage, but cant complain. My home itself is dry and with power. #Grateful #photo",infrastructure_and_utility_damage,not_humanitarian,0.85,no,infrastructure_and_utility_damage,other_relevant_information,2,yes,Reports limited home damage and restored power after returning.,other_relevant_information,infrastructure_and_utility_damage,2,yes,Personal update expressing gratitude for minor damage and retained power.,infrastructure_and_utility_damage,other_relevant_information,2,yes,Resident reports returning home to minor damage while power and interior remained dry.,infrastructure_and_utility_damage,sympathy_and_support,2,yes,Returned home some damage but home dry with power grateful.
AUDITV2_0054,hurricane_harvey_2017,903649955344199681,Crew put up temporary dams to block water from going over I-10. @NBCDFW #Harvey,infrastructure_and_utility_damage,infrastructure_and_utility_damage,0.9,yes,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,2,yes,Crew installs temporary barriers to protect I-10 from floodwater.,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,2,yes,Crew builds temporary dams to protect a highway from floodwater.,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,3,no,Reports crews erecting temporary dams to prevent highway flooding.,infrastructure_and_utility_damage,,3,no,Crew put up temporary dams to block water from I-10.
AUDITV2_0055,cyclone_idai_2019,1106972736147079168,Lives have been lost &amp; more may be lost. My son just telling me two Jnr golfers from Chimanimani are missing; little boys he played golf with. Homes swept away &amp; people marooned. God help us! We need each other. Let’s pray for lives 2 b spared.And mobilize support #Cycloneidai,injured_or_dead_people,missing_or_found_people,0.7,no,missing_or_found_people,injured_or_dead_people,2,yes,"Explicitly reports missing children, deaths, swept homes and marooned people.",missing_or_found_people,injured_or_dead_people,1,yes,"Reports two named boys missing amid broader deaths, homes swept away, and calls to mobilize.",missing_or_found_people,sympathy_and_support,2,yes,Reports missing junior golfers and swept-away homes while requesting prayers and support.,missing_or_found_people,injured_or_dead_people,2,yes,Lives lost two junior golfers missing homes swept people marooned pray.
AUDITV2_0056,canada_wildfires_2016,729070869084000260,Help is urgently needed! Donate to the @redcrosscanada Alberta Wildfire relief effort here:,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.95,no,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,no,Direct donation appeal for wildfire relief.,rescue_volunteering_or_donation_effort,,3,no,Direct call to donate to Red Cross wildfire relief.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,no,Direct appeal soliciting donations for Red Cross Alberta wildfire relief efforts.,rescue_volunteering_or_donation_effort,,3,no,Help urgently needed donate to Red Cross Alberta Wildfire relief.
