annotator,reference,label,support,precision,recall,f1
claude,HumAID,sympathy_and_support,54,0.68,0.3148148148148148,0.43037974683544306
claude,GPT-4o,caution_and_advice,54,0.7313432835820896,0.9074074074074074,0.8099173553719008
claude,GPT-4o,displaced_people_and_evacuations,54,0.8648648648648649,0.5925925925925926,0.7032967032967032
claude,GPT-4o,infrastructure_and_utility_damage,54,0.7346938775510204,0.6666666666666666,0.6990291262135923
claude,GPT-4o,injured_or_dead_people,54,0.7254901960784313,0.6851851851851852,0.7047619047619048
claude,GPT-4o,missing_or_found_people,14,0.65,0.9285714285714286,0.7647058823529412
claude,GPT-4o,not_humanitarian,54,0.6470588235294118,0.2037037037037037,0.30985915492957744
claude,GPT-4o,other_relevant_information,54,0.36363636363636365,0.5925925925925926,0.4507042253521127
claude,GPT-4o,requests_or_urgent_needs,54,0.75,0.5555555555555556,0.6382978723404256
claude,GPT-4o,rescue_volunteering_or_donation_effort,54,0.4528301886792453,0.8888888888888888,0.6
claude,GPT-4o,sympathy_and_support,54,0.84,0.3888888888888889,0.5316455696202531
gemini,HumAID,caution_and_advice,54,0.6326530612244898,0.5740740740740741,0.6019417475728156
gemini,HumAID,displaced_people_and_evacuations,54,0.7209302325581395,0.5740740740740741,0.6391752577319588
gemini,HumAID,infrastructure_and_utility_damage,55,0.6304347826086957,0.5272727272727272,0.5742574257425742
gemini,HumAID,injured_or_dead_people,53,0.7083333333333334,0.6415094339622641,0.6732673267326733
gemini,HumAID,missing_or_found_people,11,0.5333333333333333,0.7272727272727273,0.6153846153846153
gemini,HumAID,not_humanitarian,55,0.5714285714285714,0.2909090909090909,0.38554216867469876
gemini,HumAID,other_relevant_information,55,0.28,0.38181818181818183,0.3230769230769231
gemini,HumAID,requests_or_urgent_needs,55,0.7,0.2545454545454545,0.3733333333333333
gemini,HumAID,rescue_volunteering_or_donation_effort,54,0.35833333333333334,0.7962962962962963,0.49425287356321834
gemini,HumAID,sympathy_and_support,54,0.5714285714285714,0.5925925925925926,0.5818181818181818
gemini,GPT-4o,caution_and_advice,54,0.8775510204081632,0.7962962962962963,0.8349514563106796
gemini,GPT-4o,displaced_people_and_evacuations,54,0.8604651162790697,0.6851851851851852,0.7628865979381443
gemini,GPT-4o,infrastructure_and_utility_damage,54,0.7608695652173914,0.6481481481481481,0.7000000000000001
gemini,GPT-4o,injured_or_dead_people,54,0.7291666666666666,0.6481481481481481,0.6862745098039215
gemini,GPT-4o,missing_or_found_people,14,0.8,0.8571428571428571,0.8275862068965518
gemini,GPT-4o,not_humanitarian,54,0.6071428571428571,0.3148148148148148,0.41463414634146345
gemini,GPT-4o,other_relevant_information,54,0.4,0.5555555555555556,0.46511627906976744
gemini,GPT-4o,requests_or_urgent_needs,54,0.8,0.2962962962962963,0.43243243243243246
gemini,GPT-4o,rescue_volunteering_or_donation_effort,54,0.4,0.8888888888888888,0.5517241379310346
gemini,GPT-4o,sympathy_and_support,54,0.6964285714285714,0.7222222222222222,0.7090909090909091
grok,HumAID,caution_and_advice,54,0.5666666666666667,0.6296296296296297,0.5964912280701755
grok,HumAID,displaced_people_and_evacuations,54,0.7714285714285715,0.5,0.6067415730337079
grok,HumAID,infrastructure_and_utility_damage,55,0.6744186046511628,0.5272727272727272,0.5918367346938775
grok,HumAID,injured_or_dead_people,53,0.5694444444444444,0.7735849056603774,0.656
grok,HumAID,missing_or_found_people,11,0.35714285714285715,0.45454545454545453,0.4
grok,HumAID,not_humanitarian,55,0.6428571428571429,0.16363636363636364,0.2608695652173913
grok,HumAID,other_relevant_information,55,0.2903225806451613,0.4909090909090909,0.36486486486486486
grok,HumAID,requests_or_urgent_needs,55,0.6041666666666666,0.5272727272727272,0.5631067961165047
grok,HumAID,rescue_volunteering_or_donation_effort,54,0.4864864864864865,0.6666666666666666,0.5625
grok,HumAID,sympathy_and_support,54,0.5957446808510638,0.5185185185185185,0.5544554455445543
grok,GPT-4o,caution_and_advice,54,0.75,0.8333333333333334,0.7894736842105262
grok,GPT-4o,displaced_people_and_evacuations,54,0.9142857142857143,0.5925925925925926,0.7191011235955056
grok,GPT-4o,infrastructure_and_utility_damage,54,0.7441860465116279,0.5925925925925926,0.6597938144329897
grok,GPT-4o,injured_or_dead_people,54,0.625,0.8333333333333334,0.7142857142857143
grok,GPT-4o,missing_or_found_people,14,0.7142857142857143,0.7142857142857143,0.7142857142857143
grok,GPT-4o,not_humanitarian,54,0.5714285714285714,0.14814814814814814,0.23529411764705882
grok,GPT-4o,other_relevant_information,54,0.3548387096774194,0.6111111111111112,0.4489795918367347
grok,GPT-4o,requests_or_urgent_needs,54,0.8125,0.7222222222222222,0.7647058823529411
grok,GPT-4o,rescue_volunteering_or_donation_effort,54,0.5540540540540541,0.7592592592592593,0.640625
grok,GPT-4o,sympathy_and_support,54,0.7021276595744681,0.6111111111111112,0.6534653465346535
