annotation_id,event,tweet_id,original_human_label,gpt4o_label,gpt4o_confidence,gpt4o_entropy,gpt4o_status,sampling_group,confidence_band,source_path,source_sha
PILOT012,hurricane_harvey_2017,903355266309206016,infrastructure_and_utility_damage,other_relevant_information,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/hurricane_harvey_2017/hurricane_harvey_2017_train_pred.csv,0f1c5ab0b01567bf1d8f3f18d63efc4e6c924fa4
PILOT013,hurricane_harvey_2017,902644320766902272,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/hurricane_harvey_2017/hurricane_harvey_2017_train_pred.csv,0f1c5ab0b01567bf1d8f3f18d63efc4e6c924fa4
PILOT014,hurricane_dorian_2019,1168040312247160833,displaced_people_and_evacuations,displaced_people_and_evacuations,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/hurricane_dorian_2019/hurricane_dorian_2019_train_pred.csv,99636c941ffabd92a8edc950fde42c0b14153f3f
PILOT015,cyclone_idai_2019,1111396955903717376,requests_or_urgent_needs,requests_or_urgent_needs,0.9,,ok,agree,high,data/pseudo-labelled/gpt-4o/cyclone_idai_2019/cyclone_idai_2019_train_pred.csv,b48343c62e1bbaa5a43af348ed83e9400a1f7b6
PILOT016,hurricane_florence_2018,1039518454192263168,other_relevant_information,caution_and_advice,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/hurricane_florence_2018/hurricane_florence_2018_train_pred.csv,dc6afc72cea4d6d1e9ba15208f248d5375711b12
PILOT017,california_wildfires_2018,1064171323591667712,injured_or_dead_people,sympathy_and_support,0.6,,ok,disagree,low,data/pseudo-labelled/gpt-4o/california_wildfires_2018/california_wildfires_2018_train_pred.csv,4ff8c4946b30f8eea4d17f31e760e89119587e38
PILOT018,hurricane_florence_2018,1042051313876590592,injured_or_dead_people,injured_or_dead_people,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/hurricane_florence_2018/hurricane_florence_2018_train_pred.csv,dc6afc72cea4d6d1e9ba15208f248d5375711b12
PILOT019,hurricane_dorian_2019,1167784377591508992,sympathy_and_support,caution_and_advice,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/hurricane_dorian_2019/hurricane_dorian_2019_train_pred.csv,99636c941ffabd92a8edc950fde42c0b14153f3f
PILOT020,hurricane_dorian_2019,1167595994537693186,not_humanitarian,not_humanitarian,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/hurricane_dorian_2019/hurricane_dorian_2019_train_pred.csv,99636c941ffabd92a8edc950fde42c0b14153f3f
PILOT021,cyclone_idai_2019,1108286363596664834,missing_or_found_people,injured_or_dead_people,0.9,,ok,disagree,high,data/pseudo-labelled/gpt-4o/cyclone_idai_2019/cyclone_idai_2019_train_pred.csv,b48343c62e1bbaa5a43af348ed83e9400a1f7b6
PILOT022,canada_wildfires_2016,732730026710327300,infrastructure_and_utility_damage,infrastructure_and_utility_damage,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/canada_wildfires_2016/canada_wildfires_2016_train_pred.csv,a97ca25b9fe789bcc096a073b8c24cfd140cc535
PILOT023,kaikoura_earthquake_2016,797834915416899584,caution_and_advice,infrastructure_and_utility_damage,0.9,,ok,disagree,high,data/pseudo-labelled/gpt-4o/kaikoura_earthquake_2016/kaikoura_earthquake_2016_train_pred.csv,cec60827ffe7ce59b256fac099d90580a9b2960b
PILOT024,california_wildfires_2018,1065228003708424192,caution_and_advice,caution_and_advice,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/california_wildfires_2018/california_wildfires_2018_train_pred.csv,4ff8c4946b30f8eea4d17f31e760e89119587e38
PILOT025,kerala_floods_2018,1032200157494796288,not_humanitarian,sympathy_and_support,0.6,,ok,disagree,low,data/pseudo-labelled/gpt-4o/kerala_floods_2018/kerala_floods_2018_train_pred.csv,bc63719c0c62fdf181a895f3d58a3017b95ca5d1
PILOT026,california_wildfires_2018,1061317137401294852,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.9,,ok,agree,high,data/pseudo-labelled/gpt-4o/california_wildfires_2018/california_wildfires_2018_train_pred.csv,4ff8c4946b30f8eea4d17f31e760e89119587e38
PILOT027,kaikoura_earthquake_2016,797836913751117824,displaced_people_and_evacuations,displaced_people_and_evacuations,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/kaikoura_earthquake_2016/kaikoura_earthquake_2016_train_pred.csv,cec60827ffe7ce59b256fac099d90580a9b2960b
PILOT028,cyclone_idai_2019,1108303719194607617,not_humanitarian,sympathy_and_support,0.6,,ok,disagree,low,data/pseudo-labelled/gpt-4o/cyclone_idai_2019/cyclone_idai_2019_train_pred.csv,b48343c62e1bbaa5a43af348ed83e9400a1f7b6
PILOT029,hurricane_harvey_2017,902903802193424384,caution_and_advice,caution_and_advice,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/hurricane_harvey_2017/hurricane_harvey_2017_train_pred.csv,0f1c5ab0b01567bf1d8f3f18d63efc4e6c924fa4
PILOT030,canada_wildfires_2016,734020196311179270,requests_or_urgent_needs,requests_or_urgent_needs,0.8,,ok,agree,medium,data/pseudo-labelled/gpt-4o/canada_wildfires_2016/canada_wildfires_2016_train_pred.csv,a97ca25b9fe789bcc096a073b8c24cfd140cc535
PILOT031,kaikoura_earthquake_2016,798382276530749440,infrastructure_and_utility_damage,caution_and_advice,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/kaikoura_earthquake_2016/kaikoura_earthquake_2016_train_pred.csv,cec60827ffe7ce59b256fac099d90580a9b2960b
PILOT032,california_wildfires_2018,1062630697473634304,other_relevant_information,not_humanitarian,0.95,,ok,disagree,high,data/pseudo-labelled/gpt-4o/california_wildfires_2018/california_wildfires_2018_train_pred.csv,4ff8c4946b30f8eea4d17f31e760e89119587e38
PILOT033,hurricane_harvey_2017,902917975010926592,not_humanitarian,not_humanitarian,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/hurricane_harvey_2017/hurricane_harvey_2017_train_pred.csv,0f1c5ab0b01567bf1d8f3f18d63efc4e6c924fa4
PILOT034,hurricane_harvey_2017,902661499965104133,sympathy_and_support,rescue_volunteering_or_donation_effort,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/hurricane_harvey_2017/hurricane_harvey_2017_train_pred.csv,0f1c5ab0b01567bf1d8f3f18d63efc4e6c924fa4
PILOT035,hurricane_irma_2017,906080555460169728,injured_or_dead_people,injured_or_dead_people,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/hurricane_irma_2017/hurricane_irma_2017_train_pred.csv,22eaceb4055725c64d57a6f72b68831c3ce970c3
PILOT036,hurricane_florence_2018,1041276242094370816,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,0.95,,ok,disagree,high,data/pseudo-labelled/gpt-4o/hurricane_florence_2018/hurricane_florence_2018_train_pred.csv,dc6afc72cea4d6d1e9ba15208f248d5375711b12
PILOT037,hurricane_irma_2017,909362354403540994,sympathy_and_support,sympathy_and_support,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/hurricane_irma_2017/hurricane_irma_2017_train_pred.csv,22eaceb4055725c64d57a6f72b68831c3ce970c3
PILOT038,hurricane_florence_2018,1042025793122197504,displaced_people_and_evacuations,injured_or_dead_people,0.9,,ok,disagree,high,data/pseudo-labelled/gpt-4o/hurricane_florence_2018/hurricane_florence_2018_train_pred.csv,dc6afc72cea4d6d1e9ba15208f248d5375711b12
PILOT039,hurricane_maria_2017,913947736415854592,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/hurricane_maria_2017/hurricane_maria_2017_train_pred.csv,b7b215ed55b6f1db0f1dbb5b3221e27b8540d8e6
PILOT040,hurricane_florence_2018,1041570406078009345,requests_or_urgent_needs,requests_or_urgent_needs,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/hurricane_florence_2018/hurricane_florence_2018_train_pred.csv,dc6afc72cea4d6d1e9ba15208f248d5375711b12
PILOT041,hurricane_irma_2017,908350912262946818,caution_and_advice,not_humanitarian,0.95,,ok,disagree,high,data/pseudo-labelled/gpt-4o/hurricane_irma_2017/hurricane_irma_2017_train_pred.csv,22eaceb4055725c64d57a6f72b68831c3ce970c3
PILOT042,kaikoura_earthquake_2016,771547498431205376,not_humanitarian,not_humanitarian,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/kaikoura_earthquake_2016/kaikoura_earthquake_2016_train_pred.csv,cec60827ffe7ce59b256fac099d90580a9b2960b
PILOT043,cyclone_idai_2019,1108668171408560131,other_relevant_information,missing_or_found_people,0.8,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/cyclone_idai_2019/cyclone_idai_2019_train_pred.csv,b48343c62e1bbaa5a43af348ed83e9400a1f7b6
PILOT044,hurricane_maria_2017,913246822927183872,displaced_people_and_evacuations,requests_or_urgent_needs,0.9,,ok,disagree,high,data/pseudo-labelled/gpt-4o/hurricane_maria_2017/hurricane_maria_2017_train_pred.csv,b7b215ed55b6f1db0f1dbb5b3221e27b8540d8e6
PILOT045,kaikoura_earthquake_2016,798054634405277696,requests_or_urgent_needs,requests_or_urgent_needs,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/kaikoura_earthquake_2016/kaikoura_earthquake_2016_train_pred.csv,cec60827ffe7ce59b256fac099d90580a9b2960b
PILOT046,hurricane_dorian_2019,1167562908202655744,injured_or_dead_people,infrastructure_and_utility_damage,0.9,,ok,disagree,high,data/pseudo-labelled/gpt-4o/hurricane_dorian_2019/hurricane_dorian_2019_train_pred.csv,99636c941ffabd92a8edc950fde42c0b14153f3f
PILOT047,cyclone_idai_2019,1106856696566165505,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/cyclone_idai_2019/cyclone_idai_2019_train_pred.csv,b48343c62e1bbaa5a43af348ed83e9400a1f7b6
PILOT048,canada_wildfires_2016,728965247629955073,infrastructure_and_utility_damage,sympathy_and_support,0.95,,ok,disagree,high,data/pseudo-labelled/gpt-4o/canada_wildfires_2016/canada_wildfires_2016_train_pred.csv,a97ca25b9fe789bcc096a073b8c24cfd140cc535
PILOT049,kerala_floods_2018,1034002171044478983,injured_or_dead_people,injured_or_dead_people,0.9,,ok,agree,high,data/pseudo-labelled/gpt-4o/kerala_floods_2018/kerala_floods_2018_train_pred.csv,bc63719c0c62fdf181a895f3d58a3017b95ca5d1
PILOT050,hurricane_irma_2017,908396046061056000,infrastructure_and_utility_damage,infrastructure_and_utility_damage,0.8,,ok,agree,medium,data/pseudo-labelled/gpt-4o/hurricane_irma_2017/hurricane_irma_2017_train_pred.csv,22eaceb4055725c64d57a6f72b68831c3ce970c3
