annotation_id,event,tweet_text,your_primary_label,your_secondary_label,confidence,ambiguous,notes
PILOT014,hurricane_dorian_2019,Evacuations begin as Dorian bears down on Bahama coast,,,,,
PILOT015,cyclone_idai_2019,Cholera outbreak in Mozambique reported. We need all the help we can get!,,,,,
PILOT016,hurricane_florence_2018,"Provided Hurricane Florence’s dangerous potential and outlook in North Carolina, UCF Alumni is canceling the UCF ChargeOn Tailgate in Chapel Hill. Refunds for the event will be issued. Full statement:",,,,,
PILOT017,california_wildfires_2018,You can thank Brown for all the deaths in California fires!,,,,,
PILOT018,hurricane_florence_2018,"@justinbaragona @BradMossEsq Trumps claim is only 6 people were killedd by Florence because that was reported the day after Hurricane Florence made landfall, and for then for the death toll to now rise to 32 is just fake news.",,,,,
PILOT019,hurricane_dorian_2019,Here are the updated forecast scenarios. A weakness in the high over the Atlantic could help #Dorian find a pathway north just offshore from FLs east coast. If it is stronger a landfall is possible. #FirstAlertWX,,,,,
PILOT020,hurricane_dorian_2019,@realDonaldTrump doesn’t carethey’re going to use FEMA money to rebuild it when it’s destroyed.,,,,,
PILOT021,cyclone_idai_2019,"Hundreds are dead, many more are missing and thousands are now at risk from massive #flooding in Mozambique, Zimbabwe and Malawi caused by Cyclone Idai and persistent rains. #CycloneIdai",,,,,
PILOT022,canada_wildfires_2016,RT @LoisLeeTV: Two homes explode in Fort McMurray; 10 buildings destroyed Wildfire now 5x size of NYC.,,,,,
PILOT023,kaikoura_earthquake_2016,RT @LesMillsWgtn: Both #lesmillslambton and #lesmillsextreme will be closed in the morning until we can confirm buildings are safe #eqnz,,,,,
PILOT024,california_wildfires_2018,"Heavy rain could trigger mudslides, flash floods in California as rescuers search for wildfire victims.",,,,,
PILOT025,kerala_floods_2018,Insane thankless comrads.. no surprises.. he is like that trash strewn on bridge in kerala after water receded.. call army and just air drop this man in the same floods in idukki. Are forces risking their lives to listen such statements? Thankless to the core..#keralafloods,,,,,
PILOT026,california_wildfires_2018,"If you have the means to donate to the Camp Fire, take the few minutes to The entire towns of Paradise and Magalia have been destroyed The death toll is currently 9, but that will rise. There’s only one way out of town &amp; there was gridlock. People burnt in their cars.",,,,,
PILOT027,kaikoura_earthquake_2016,RT @JodiIhaka: Families in cars and undercover at the top of Hataitai. #eqnz #tsunami evacuation,,,,,
PILOT028,cyclone_idai_2019,You have only realized now what we have always known. Your government and a natural desaster are similar calamities that cause the same loss of life under desperate conditions and requiring the same response from unpaid professionals. You are so real.,,,,,
PILOT029,hurricane_harvey_2017,Not sure if your food is safe after #Harvey? Dont risk getting sick. Call @USDAFoodSafety with your #foodsafety-related questions.,,,,,
PILOT030,canada_wildfires_2016,"@globalnewsto: Fort McMurray wildfire as big as PEI, crosses Saskatchewan border.  Need help from other countries?",,,,,
PILOT031,kaikoura_earthquake_2016,"RT @wiseteroid: if the strong aftershocks continue, this wont be the last building to fall. #eqnz",,,,,
PILOT032,california_wildfires_2018,"Experts say California never had Nov. fires before and it is caused by global warming. On this day in 1970, fires raged across Calif., the deadliest cyclone on record killed over 500K people in Bangladesh, and it was all caused by global cooling.",,,,,
PILOT033,hurricane_harvey_2017,@IowaFloodCenter Director Witold Krajewski relates Hurricane Harvey flooding to 08 floods.,,,,,
PILOT034,hurricane_harvey_2017,Heres one way you can help those in the Houston-Gulf Coast Area. #prayfortx #harveyrelief,,,,,
PILOT035,hurricane_irma_2017,Hurricane #Irma kills 14 as it tears through Caribbean,,,,,
PILOT036,hurricane_florence_2018,"Additional crews from Alabama, Virginia, and Tennessee are here or in route to assist us in restoration efforts. To report an outage, call 1-800-794-4423. #HurricaneFlorence #CoopStrong",,,,,
PILOT037,hurricane_irma_2017,Our thoughts with Florida and victims of hurricane #Irma #NowPlaying Stuffed Pirate -,,,,,
PILOT038,hurricane_florence_2018,Hurricane Florence Death Toll Rises As New Evacuations Ordered | TODAY #Pinterest #NorthCarolina #webseries,,,,,
PILOT039,hurricane_maria_2017,there’s a link in my bio for a go fund me to help the victims of hurricane maria please donate to help those in need. #orgullosoboricua ❤️἟5἟7,,,,,
PILOT040,hurricane_florence_2018,"Please help one of my close friends she lost everything, as well as her family due to hurricane Florence. Personal belongings, vehicle, and home. Also please share, anything could help. Ὁ3",,,,,
PILOT041,hurricane_irma_2017,"Fajardo☀ Heavy Rain Fog and 80 F at Roosevelt Roads, Roosevelt Roads Naval Station, Ofstie Field, PR  #Fajardo",,,,,
PILOT042,kaikoura_earthquake_2016,Is it bad that I only found out about the 7.1 Earthquake that hit NZ and the Tsunami warning when I got to work lol. #SleepingDeep ha!,,,,,
PILOT043,cyclone_idai_2019,It took me days to find this energy to tweet about #CycloneIdai in my beloved home area #zimunya #Chimanimani as I was greatly affected and was busy trying to identify missing persons. May #Zimbabwe be healed from this shook. I am still at a loss of words.,,,,,
PILOT044,hurricane_maria_2017,"Puerto Rico is a U.S. Commonwealth. Americans are dying. They cant evacuate, and supplies, medicine are dwindling. Trump doesnt care.",,,,,
PILOT045,kaikoura_earthquake_2016,Please someone help #moo #eqnz,,,,,
PILOT046,hurricane_dorian_2019,"After Hurricane Irma, 12 ppl died when their nursing home in Hollywood lost power. 2yrs later as #HurricaneDorian barrels toward FL 60% of nursing homes havent installed back up power required by new state law to protect the elderly. by @elizabethrkoh",,,,,
PILOT047,cyclone_idai_2019,The victims from #CycloneIdai will receive more support and donations from NGOs than government. Its sad that our government despises NGOs so much.,,,,,
PILOT048,canada_wildfires_2016,RT @AnneKOvind: Devastating damage caused by #FortMcMurray #wildfire Resilience and spirit of #Albertans impressive. Our thoughts are with,,,,,
PILOT049,kerala_floods_2018,"Not just #KeralaFloods, other affected states are #UP, #WestBengal, #Karnataka &amp; #Assam. Total 993 deaths due to floods in this years monsoon &amp; still counting  via @timesofindia by @pradeeptTOI",,,,,
PILOT050,hurricane_irma_2017,Not sure people understand the sheer scope of the damage Irma has done to Middle Georgia.,,,,,
