annotation_id,assistant_primary_label,assistant_secondary_label,assistant_confidence_1to3,assistant_ambiguous,assistant_notes
AUDIT0066,other_relevant_information,,3,No,Historical/comparative disaster analysis.
AUDIT0067,other_relevant_information,,2,No,Post-hurricane housing topic without specific impact/need.
AUDIT0068,infrastructure_and_utility_damage,other_relevant_information,3,No,Flooding and stressed dams.
AUDIT0069,displaced_people_and_evacuations,other_relevant_information,3,No,Explicit internally displaced refugees.
AUDIT0070,other_relevant_information,caution_and_advice,2,Yes,Warns that an old fire video is outdated.
AUDIT0071,sympathy_and_support,,3,No,Hope and mourning after cyclone.
AUDIT0072,requests_or_urgent_needs,other_relevant_information,3,No,Calls for international aircraft assistance.
AUDIT0073,other_relevant_information,sympathy_and_support,2,No,Video/story about hope inside fires.
AUDIT0074,caution_and_advice,other_relevant_information,3,No,Malaria warning plus mosquito-net prevention.
AUDIT0075,other_relevant_information,,3,No,Storm tracking update.
AUDIT0076,caution_and_advice,displaced_people_and_evacuations,3,No,Tsunami evacuation-zone maps are safety guidance.
AUDIT0077,rescue_volunteering_or_donation_effort,,3,No,Donation reference toward cyclone response.
AUDIT0078,not_humanitarian,other_relevant_information,3,No,Political commentary about relief motives.
AUDIT0079,requests_or_urgent_needs,injured_or_dead_people,3,No,Explicit plea for help amid deaths.
AUDIT0080,rescue_volunteering_or_donation_effort,,3,No,Benefit event expanded to Irma relief.
AUDIT0081,caution_and_advice,rescue_volunteering_or_donation_effort,2,Yes,Advice about where not to donate.
AUDIT0082,caution_and_advice,displaced_people_and_evacuations,3,No,Explicit instruction to obey evacuation orders.
AUDIT0083,rescue_volunteering_or_donation_effort,sympathy_and_support,3,Yes,Donation appeal alongside prayers/support.
AUDIT0084,other_relevant_information,displaced_people_and_evacuations,2,Yes,Consumer/economic issue during evacuation.
AUDIT0085,not_humanitarian,,3,No,Partisan abortion rhetoric using disaster deaths.
AUDIT0086,requests_or_urgent_needs,,3,No,Direct plea for help.
AUDIT0087,other_relevant_information,sympathy_and_support,2,Yes,Reflective story about hometown damage.
AUDIT0088,other_relevant_information,infrastructure_and_utility_damage,3,No,Reservoir/dam status measurements without stated damage.
AUDIT0089,sympathy_and_support,,3,No,Hope that everyone is okay.
AUDIT0090,not_humanitarian,,3,No,Political/ideological attack rather than aid information.
AUDIT0091,injured_or_dead_people,infrastructure_and_utility_damage,3,No,Reports deaths and major damage; deaths primary.
AUDIT0092,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Donation appeal to support Kerala.
AUDIT0093,rescue_volunteering_or_donation_effort,sympathy_and_support,3,No,Staff traveling to provide medical response support.
AUDIT0094,rescue_volunteering_or_donation_effort,other_relevant_information,3,No,Assistance to wildfire victim.
AUDIT0095,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,3,No,Explicit demand that aid reach Puerto Rico now.
AUDIT0096,sympathy_and_support,infrastructure_and_utility_damage,3,Yes,Prayer/support dominates despite mentions of destruction/evacuation.
AUDIT0097,sympathy_and_support,,3,No,Hearts/support for victims.
AUDIT0098,injured_or_dead_people,,3,No,Family believed dead in floodwaters.
AUDIT0099,caution_and_advice,,3,No,Safety guidance for children after flooding.
AUDIT0100,injured_or_dead_people,rescue_volunteering_or_donation_effort,3,Yes,Deaths foregrounded with rescue-access difficulty.
AUDIT0101,not_humanitarian,injured_or_dead_people,3,No,Partisan attack using disaster deaths.
AUDIT0102,injured_or_dead_people,missing_or_found_people,3,Yes,Deaths and missing people both explicit.
AUDIT0103,displaced_people_and_evacuations,,3,No,Returning home after evacuation.
AUDIT0104,requests_or_urgent_needs,,3,No,Explicit emergency help appeal.
AUDIT0105,caution_and_advice,other_relevant_information,2,Yes,Landfall/hazard alert with warning framing.
AUDIT0106,rescue_volunteering_or_donation_effort,,3,No,Animal rescue effort.
AUDIT0107,other_relevant_information,caution_and_advice,1,Yes,References useful hurricane info but omits the actual content.
AUDIT0108,other_relevant_information,caution_and_advice,2,No,Storm-impact forecast without directive.
AUDIT0109,injured_or_dead_people,requests_or_urgent_needs,3,Yes,Death toll foregrounded with relief-funding context.
AUDIT0110,requests_or_urgent_needs,infrastructure_and_utility_damage,3,No,House destroyed and implicit request for help.
AUDIT0111,caution_and_advice,,3,No,Emergency-management preparedness instruction.
AUDIT0112,infrastructure_and_utility_damage,displaced_people_and_evacuations,3,Yes,House destruction and evacuation.
AUDIT0113,other_relevant_information,,3,No,Climate-resilience commentary.
AUDIT0114,requests_or_urgent_needs,,3,No,Explicit request for outside assistance.
AUDIT0115,rescue_volunteering_or_donation_effort,,3,No,Supplies and assistance airlifted.
AUDIT0116,requests_or_urgent_needs,,3,No,Citizens described as in dire need of help.
AUDIT0117,missing_or_found_people,rescue_volunteering_or_donation_effort,3,Yes,Missing victims and proposed recovery/search resources.
AUDIT0118,infrastructure_and_utility_damage,requests_or_urgent_needs,3,Yes,Total power outage and hospital generator risk.
AUDIT0119,rescue_volunteering_or_donation_effort,,3,No,Disaster-relief organization responding on the ground.
AUDIT0120,sympathy_and_support,,3,No,Prayer for flood victims.
AUDIT0121,sympathy_and_support,infrastructure_and_utility_damage,3,Yes,Emotional support dominates despite destruction mention.
AUDIT0122,infrastructure_and_utility_damage,other_relevant_information,2,No,Severe flooding impacts farm region.
AUDIT0123,rescue_volunteering_or_donation_effort,sympathy_and_support,3,No,Firefighting task force returning from response.
AUDIT0124,caution_and_advice,,3,No,Urges people to heed evacuation warnings.
AUDIT0125,rescue_volunteering_or_donation_effort,other_relevant_information,1,Yes,"Relief offer, but promotional/coupon framing."
AUDIT0126,requests_or_urgent_needs,,3,No,Victim lost everything and asks for help.
AUDIT0127,caution_and_advice,sympathy_and_support,3,Yes,Tsunami warning plus blessing/support.
AUDIT0128,requests_or_urgent_needs,,3,No,Pregnant woman in urgent rescue/medical need.
AUDIT0129,sympathy_and_support,,3,No,Solidarity with overseas flood victims.
AUDIT0130,injured_or_dead_people,,3,No,Reports cholera deaths.
AUDIT0131,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Shelters ask public for help.
AUDIT0132,other_relevant_information,missing_or_found_people,2,Yes,Weather affects firefighting and recovery of remains.
AUDIT0133,not_humanitarian,sympathy_and_support,3,No,Gloating partisan comment about storm impacts.
AUDIT0134,rescue_volunteering_or_donation_effort,,3,No,Rescue personnel and machinery sent to help.
AUDIT0135,requests_or_urgent_needs,,3,No,Explicit statement that Puerto Ricans need help.
AUDIT0136,caution_and_advice,,3,No,Tsunami warning status update.
AUDIT0137,missing_or_found_people,rescue_volunteering_or_donation_effort,3,No,Missing-person tracing service.
AUDIT0138,not_humanitarian,other_relevant_information,2,Yes,Mostly a telecom-cost complaint despite victim support context.
AUDIT0139,caution_and_advice,infrastructure_and_utility_damage,3,No,School closures pending damage assessment.
AUDIT0140,not_humanitarian,,3,No,Personal joke about dying before a concert.
AUDIT0141,not_humanitarian,other_relevant_information,2,Yes,Political blame about fire preparedness.
AUDIT0142,caution_and_advice,infrastructure_and_utility_damage,3,No,Flooding emergency alert/radar warning.
AUDIT0143,rescue_volunteering_or_donation_effort,,3,No,Water/Gatorade aid headed to Key West.
AUDIT0144,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,3,No,Disaster-assistance volunteers assessing damage.
AUDIT0145,infrastructure_and_utility_damage,,3,No,Flood-damage photo report.
AUDIT0146,injured_or_dead_people,,3,No,Death toll report.
AUDIT0147,requests_or_urgent_needs,injured_or_dead_people,3,Yes,Basic shelter/food/water needs foregrounded amid deaths.
AUDIT0148,other_relevant_information,requests_or_urgent_needs,2,Yes,Reports survivors lacking water/power via commentary.
AUDIT0149,other_relevant_information,,2,No,News about animals affected by wildfire.
AUDIT0150,requests_or_urgent_needs,,3,No,Direct plea for rescue/help.
AUDIT0151,injured_or_dead_people,infrastructure_and_utility_damage,3,Yes,Large death toll plus extensive destruction.
AUDIT0152,not_humanitarian,,2,No,Vague political statement without actionable crisis information.
AUDIT0153,other_relevant_information,rescue_volunteering_or_donation_effort,3,No,Policy context on accepting foreign aid.
AUDIT0154,infrastructure_and_utility_damage,other_relevant_information,3,No,Road and bus-service restoration update.
AUDIT0155,other_relevant_information,,3,No,General event commentary.
AUDIT0156,other_relevant_information,caution_and_advice,3,No,Storm intensity/track and expected impacts.
AUDIT0157,not_humanitarian,displaced_people_and_evacuations,3,No,Hostile opinion about evacuees.
AUDIT0158,rescue_volunteering_or_donation_effort,,3,No,Considering on-the-ground charity response.
AUDIT0159,rescue_volunteering_or_donation_effort,,2,No,Call to help with instructions linked.
AUDIT0160,infrastructure_and_utility_damage,,2,No,References visible/cosmetic damage.
AUDIT0161,injured_or_dead_people,rescue_volunteering_or_donation_effort,3,Yes,Death toll with firefighting response.
AUDIT0162,injured_or_dead_people,not_humanitarian,2,Yes,"References 3,000 disaster deaths in argumentative framing."
AUDIT0163,other_relevant_information,not_humanitarian,2,Yes,News roundup includes Dorian tracking and unrelated incidents.
AUDIT0164,sympathy_and_support,displaced_people_and_evacuations,2,Yes,Gratitude/reflection tied to evacuation.
AUDIT0165,not_humanitarian,,3,No,Unrelated animal-shelter event.
AUDIT0166,displaced_people_and_evacuations,not_humanitarian,2,Yes,"Evacuees are central, though story is lifestyle-oriented."
AUDIT0167,other_relevant_information,not_humanitarian,2,Yes,Animal deaths/political dispute; no human-impact class fits.
AUDIT0168,other_relevant_information,infrastructure_and_utility_damage,2,No,General destruction update.
AUDIT0169,rescue_volunteering_or_donation_effort,injured_or_dead_people,3,No,Texas sends firefighting help to California.
AUDIT0170,caution_and_advice,infrastructure_and_utility_damage,2,Yes,Warning that wildfire could endanger water supply.
AUDIT0171,requests_or_urgent_needs,,3,No,Specific areas need help.
AUDIT0172,caution_and_advice,displaced_people_and_evacuations,3,No,Direct evacuation command.
AUDIT0173,other_relevant_information,rescue_volunteering_or_donation_effort,2,No,General front-lines report.
AUDIT0174,requests_or_urgent_needs,,3,No,Explicit help appeal.
AUDIT0175,other_relevant_information,,2,No,Recovery-cost/tax commentary.
AUDIT0176,caution_and_advice,displaced_people_and_evacuations,3,No,Detailed evacuation safety instructions.
AUDIT0177,missing_or_found_people,,3,No,Reports 228 people still missing.
AUDIT0178,infrastructure_and_utility_damage,sympathy_and_support,3,Yes,Damage videos plus prayer/support.
AUDIT0179,rescue_volunteering_or_donation_effort,,3,No,Utility crews deploy for relief.
AUDIT0180,missing_or_found_people,rescue_volunteering_or_donation_effort,3,No,Missing-person registry/search service.
AUDIT0181,rescue_volunteering_or_donation_effort,sympathy_and_support,3,Yes,Prayer plus link to help.
AUDIT0182,other_relevant_information,caution_and_advice,2,No,Health/climate implication of wildfire smoke.
AUDIT0183,infrastructure_and_utility_damage,caution_and_advice,3,No,Ongoing road/river flooding update.
AUDIT0184,requests_or_urgent_needs,,3,No,Kerala explicitly asks for help.
AUDIT0185,rescue_volunteering_or_donation_effort,,3,No,Fundraiser for wildfire response.
AUDIT0186,other_relevant_information,,3,No,Corrects false/misattributed cyclone images.
AUDIT0187,injured_or_dead_people,,3,No,Family feared dead.
AUDIT0188,requests_or_urgent_needs,displaced_people_and_evacuations,3,Yes,People stranded without food/water and evacuation requested.
AUDIT0189,missing_or_found_people,,3,No,Missing-person names sought.
AUDIT0190,caution_and_advice,other_relevant_information,3,No,Official warning of worsening fire conditions.
AUDIT0191,other_relevant_information,,3,No,Fire-detection/tracking system update.
AUDIT0192,other_relevant_information,displaced_people_and_evacuations,2,Yes,Looting after evacuations is relevant safety information.
AUDIT0193,infrastructure_and_utility_damage,displaced_people_and_evacuations,3,No,Highway flooding blocks safe return.
AUDIT0194,rescue_volunteering_or_donation_effort,,3,No,Call to help dogs affected by Harvey.
AUDIT0195,other_relevant_information,rescue_volunteering_or_donation_effort,3,No,Explains disaster classification and relief funding.
AUDIT0196,other_relevant_information,caution_and_advice,2,No,Analysis of ignored environmental warnings.
AUDIT0197,sympathy_and_support,,3,No,Condolences to victims and families.
AUDIT0198,rescue_volunteering_or_donation_effort,,3,No,Advocates accepting donated foreign relief funds.
AUDIT0199,other_relevant_information,rescue_volunteering_or_donation_effort,2,No,Officials view recovery efforts and meet residents.
AUDIT0200,other_relevant_information,displaced_people_and_evacuations,2,Yes,Disease outbreak at an evacuation center.
AUDIT0201,displaced_people_and_evacuations,sympathy_and_support,3,No,Self-identifies as an earthquake refugee.
AUDIT0202,not_humanitarian,,3,No,Partisan statement unrelated to crisis facts or aid.
AUDIT0203,displaced_people_and_evacuations,,3,No,Convoy moving wildfire evacuees.
AUDIT0204,rescue_volunteering_or_donation_effort,,3,No,Large in-kind donation to shelter victims.
AUDIT0205,displaced_people_and_evacuations,,3,No,Evacuees remaining after Irma.
AUDIT0206,infrastructure_and_utility_damage,,3,No,Damage and cleanup after Florence.
AUDIT0207,not_humanitarian,other_relevant_information,2,Yes,Personal aftershock experience without humanitarian information.
AUDIT0208,infrastructure_and_utility_damage,other_relevant_information,3,No,Record/major flooding and rising rivers.
AUDIT0209,rescue_volunteering_or_donation_effort,sympathy_and_support,3,Yes,Says affected people will need help.
AUDIT0210,infrastructure_and_utility_damage,,3,No,"12,000 homes destroyed."
AUDIT0211,infrastructure_and_utility_damage,displaced_people_and_evacuations,3,Yes,Returning residents/business owners assess damage.
AUDIT0212,infrastructure_and_utility_damage,,3,No,Aerial footage of earthquake damage.
AUDIT0213,caution_and_advice,,3,No,Official hurricane/tropical-storm warnings.
AUDIT0214,rescue_volunteering_or_donation_effort,sympathy_and_support,3,No,Disaster Response Tool activated.
AUDIT0215,caution_and_advice,,3,No,Explicit floodwater food-safety guidance.
AUDIT0216,rescue_volunteering_or_donation_effort,,3,No,UN-coordinated supply delivery.
AUDIT0217,injured_or_dead_people,rescue_volunteering_or_donation_effort,3,Yes,Rising death toll plus call to act.
AUDIT0218,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Animal-aid organization mobilizing response.
AUDIT0219,not_humanitarian,other_relevant_information,2,Yes,Political climate-policy advocacy rather than crisis aid information.
AUDIT0220,missing_or_found_people,injured_or_dead_people,3,Yes,203 missing and death toll 88.
AUDIT0221,caution_and_advice,sympathy_and_support,3,Yes,Authority-advisory guidance plus supportive message.
AUDIT0222,injured_or_dead_people,requests_or_urgent_needs,3,Yes,Higher death toll alongside water/health crisis.
AUDIT0223,rescue_volunteering_or_donation_effort,,3,No,Refugees helping wildfire victims.
AUDIT0224,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Pet-aid appeal and many requests for help.
AUDIT0225,caution_and_advice,not_humanitarian,2,Yes,Critiques unsafe reporting during a tsunami warning.
AUDIT0226,caution_and_advice,,3,No,Current tsunami-hazard information.
AUDIT0227,not_humanitarian,,3,No,Conspiracy/political claim about ISIS and fires.
AUDIT0228,other_relevant_information,infrastructure_and_utility_damage,2,No,Presidential visit to survey hurricane damage.
AUDIT0229,other_relevant_information,infrastructure_and_utility_damage,2,No,Storm status with limited damage.
AUDIT0230,not_humanitarian,,3,No,Unrelated location/status post.
AUDIT0231,sympathy_and_support,infrastructure_and_utility_damage,3,Yes,Asks for good vibes while island is being damaged.
AUDIT0232,rescue_volunteering_or_donation_effort,other_relevant_information,2,No,Highlights longstanding disaster-relief work.
AUDIT0233,rescue_volunteering_or_donation_effort,sympathy_and_support,3,Yes,WFP supporting assessment; also expresses sympathy and impacts.
AUDIT0234,other_relevant_information,caution_and_advice,2,No,Communities prepare for possible impacts.
AUDIT0235,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,3,No,Campgrounds opened for evacuees.
AUDIT0236,caution_and_advice,other_relevant_information,3,No,State-of-emergency and track warning.
AUDIT0237,missing_or_found_people,injured_or_dead_people,3,Yes,Nearly 900 missing and death toll 81.
AUDIT0238,rescue_volunteering_or_donation_effort,,3,No,Fundraising for disaster relief.
AUDIT0239,missing_or_found_people,requests_or_urgent_needs,3,Yes,Missing children foregrounded amid worsening aid needs.
AUDIT0240,infrastructure_and_utility_damage,other_relevant_information,2,No,River/bridge/road conditions contributing to flooding.
AUDIT0241,other_relevant_information,infrastructure_and_utility_damage,2,No,Floodwater recession timing information.
AUDIT0242,not_humanitarian,,3,No,Hostile political commentary.
AUDIT0243,caution_and_advice,,3,No,Wildfire-smoke guidance for horses.
AUDIT0244,other_relevant_information,infrastructure_and_utility_damage,2,Yes,Personal comparison to prior town destruction.
AUDIT0245,caution_and_advice,displaced_people_and_evacuations,3,No,Warning/evacuation-notice concern.
AUDIT0246,requests_or_urgent_needs,not_humanitarian,2,Yes,Repeated explicit call for help despite political framing.
AUDIT0247,rescue_volunteering_or_donation_effort,caution_and_advice,3,Yes,Donation guidance directing aid to local charities.
AUDIT0248,not_humanitarian,,3,No,Joke about wanting a day off without damage.
AUDIT0249,infrastructure_and_utility_damage,other_relevant_information,3,No,Historical account of wildfire destroying a community.
AUDIT0250,injured_or_dead_people,not_humanitarian,3,No,"Explicit deaths, though framed as political blame."
AUDIT0251,sympathy_and_support,caution_and_advice,3,Yes,Hope for safety during tsunami warning.
AUDIT0252,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,3,No,Organization shelters earthquake refugees.
AUDIT0253,injured_or_dead_people,not_humanitarian,2,Yes,Lives lost amid partisan blame and wider impacts.
AUDIT0254,injured_or_dead_people,rescue_volunteering_or_donation_effort,3,Yes,Large death toll plus explicit call to send help.
AUDIT0255,not_humanitarian,,3,No,Religious/political invective.
AUDIT0256,requests_or_urgent_needs,other_relevant_information,3,No,Bottled-water shortage during hurricane preparation.
AUDIT0257,infrastructure_and_utility_damage,not_humanitarian,2,Yes,"Home destroyed, but tweet is celebratory/insulting."
AUDIT0258,caution_and_advice,requests_or_urgent_needs,3,No,Continue conserving water; drinking supply constrained.
AUDIT0259,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,3,No,"Safe refuge and supplies, with help instructions."
AUDIT0260,caution_and_advice,,3,No,Preparedness tip for keeping drinks/water cold.
AUDIT0261,not_humanitarian,sympathy_and_support,3,No,Partisan criticism despite disaster hashtags.
AUDIT0262,not_humanitarian,,1,Yes,Insufficient/fragmentary content.
AUDIT0263,injured_or_dead_people,displaced_people_and_evacuations,3,No,Questions post-hurricane nursing-home deaths.
AUDIT0264,displaced_people_and_evacuations,requests_or_urgent_needs,3,Yes,Temporary housing sought for evacuees/refugees.
AUDIT0265,caution_and_advice,other_relevant_information,2,No,Wildfire-prevention information.
AUDIT0266,other_relevant_information,infrastructure_and_utility_damage,2,No,Flood-insurance context for affected people.
AUDIT0267,not_humanitarian,,3,No,Earthquake alert unrelated to the Irma event.
AUDIT0268,displaced_people_and_evacuations,caution_and_advice,3,No,Mandatory evacuation order.
AUDIT0269,caution_and_advice,rescue_volunteering_or_donation_effort,2,Yes,Anti-rumor instruction plus response/financial-aid context.
AUDIT0270,injured_or_dead_people,,3,No,Death toll rises to seven.
AUDIT0271,sympathy_and_support,infrastructure_and_utility_damage,3,Yes,Prayer dominates despite damage mention.
AUDIT0272,requests_or_urgent_needs,,3,No,Direct request for outside help.
AUDIT0273,infrastructure_and_utility_damage,other_relevant_information,2,No,Hurricane described as having destroyed areas; recovery ahead.
AUDIT0274,infrastructure_and_utility_damage,requests_or_urgent_needs,3,No,No power and home damage after Irma.
AUDIT0275,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,3,Yes,Donation appeal by responders after water-system damage.
AUDIT0276,sympathy_and_support,injured_or_dead_people,3,Yes,Condolence/support message noting deaths.
AUDIT0277,infrastructure_and_utility_damage,,3,No,Photos of hurricane destruction.
AUDIT0278,rescue_volunteering_or_donation_effort,,3,No,Fundraiser event.
AUDIT0279,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,Yes,Lists shelter needs to facilitate donations.
AUDIT0280,rescue_volunteering_or_donation_effort,,3,No,Explicit donation request.
AUDIT0281,other_relevant_information,rescue_volunteering_or_donation_effort,2,No,Praises defense-force role in explaining/assessing damage.
AUDIT0282,not_humanitarian,,3,No,Political joke about hurricane protection.
AUDIT0283,caution_and_advice,injured_or_dead_people,2,Yes,Warns of looming deaths from disease/hunger/exposure.
AUDIT0284,injured_or_dead_people,not_humanitarian,3,No,Explicit 330 deaths amid political/religious commentary.
AUDIT0285,other_relevant_information,,3,No,Emergency regulatory waiver for commodities.
AUDIT0286,requests_or_urgent_needs,displaced_people_and_evacuations,3,No,Family asks where to evacuate and needs two nights of help.
AUDIT0287,other_relevant_information,,2,No,Flood-insurance availability commentary.
AUDIT0288,injured_or_dead_people,,3,No,Anticipates much higher death toll.
AUDIT0289,injured_or_dead_people,not_humanitarian,3,No,Death-toll reference in political criticism.
AUDIT0290,caution_and_advice,other_relevant_information,3,No,UNICEF warning to prevent disease spread.
AUDIT0291,sympathy_and_support,rescue_volunteering_or_donation_effort,3,No,"Prayer for victims, survivors, rescuers."
AUDIT0292,other_relevant_information,displaced_people_and_evacuations,2,Yes,Speculates about medical evacuations.
AUDIT0293,rescue_volunteering_or_donation_effort,,3,No,Firefighting crews actively responding.
AUDIT0294,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,3,No,Search/rescue and multi-sector response teams.
AUDIT0295,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,3,Yes,People need help now while aid/rescue continue.
AUDIT0296,requests_or_urgent_needs,missing_or_found_people,2,Yes,Asks for assistance/status of people after quake.
AUDIT0297,infrastructure_and_utility_damage,injured_or_dead_people,3,Yes,Island-wide power loss plus deaths.
AUDIT0298,sympathy_and_support,caution_and_advice,3,No,Prayers and stay-safe support.
AUDIT0299,injured_or_dead_people,missing_or_found_people,3,Yes,Death toll and hundreds missing.
AUDIT0300,other_relevant_information,rescue_volunteering_or_donation_effort,2,Yes,Aid-distribution failure rather than direct need statement.
